log_likelihood,log_weights,log_evidence,log_evidence_err,omega_b,omega_cdm,n_s,sigma8_m,logM_1,sigma,alpha,kappa,s,B_cen,B_sat,logM_cut
-5423.285675870475,-5430.19542915212,-5430.19542915212,0.0,0.02153604994458913,0.13774078243222473,0.920753681286903,0.9295599409376534,13.411281609708526,-1.6839390532040972,1.3665683568710882,1.257102792220795,-0.3570024458206744,0.22659469721801506,-0.24229705165503956,13.11317165422832
-4784.218929215175,-4791.130680499483,-4791.130680499483,0.0,0.023757420655503486,0.13209527440562763,1.021012308976345,0.9064556825532157,13.453595104624078,-1.5550223259501905,1.4786238250312416,0.5314417057030514,-0.9774381040454774,-0.6399805738609408,-0.043406783682320205,13.248105933877381
-3962.0671256607097,-3968.9808749476797,-3968.9808749476797,0.0,0.021844291992924012,0.13183142474109466,0.9397719060879536,0.9084981478751224,13.201315872060993,-1.5432008606566567,1.410675417181774,1.3097954536486003,0.2962539229647878,0.5463977036486785,-0.2477447556350154,13.152641228995169
-3742.0837512674816,-3748.9994985571143,-3748.9994985571143,0.0,0.022174718394955623,0.1275354676611414,0.9988930596832716,0.9351133804333485,13.643863431382586,-2.7430018085252983,1.4191894385243364,1.3988676510025195,0.2530883508953017,0.21075059887712166,0.326679428963234,13.226735743717947
-3692.2200035075766,-3699.137748799872,-3699.137748799872,0.0,0.0232665196953315,0.12887423554934554,0.9970557939115627,0.9057374848001332,13.831992493098861,-1.508607888034753,1.32800698098894,0.4000827845812833,-0.98013457544883,0.32932254000525396,-0.989368884931699,13.279778212927074
-3689.665261752873,-3696.5101644956476,-3696.4404026470347,0.0,0.02171535621614637,0.13839368704930416,0.9888300217905581,0.8358206966399248,13.237056022159964,-1.535047979850157,1.3071066974940477,0.8068800807158112,-0.29588277123513773,-0.16762475324979653,0.3679516060887933,13.265289435844277
-3056.038884650548,-3062.960625948169,-3062.960625948169,0.0,0.0214934951788299,0.12257936346965112,0.9661943993582462,0.8558499143446185,13.311710921179277,-0.9044693911660784,1.326090786629512,1.035771386752669,0.2645126135658207,0.1932422804540741,-0.7157977136933742,13.293669356805875
-3049.5738036033113,-3056.4959872491786,-3056.4944309070042,0.0,0.022459542645196864,0.13643533498906635,0.9401226830747097,0.8921909817271786,13.450818364257708,-1.6628546452878814,1.2557133135066727,0.09912243979564339,-0.07151432653231571,0.7931194657335969,-0.7154850612923775,13.274311592664988
-2984.7667368585785,-2991.692474161525,-2991.692474161525,0.0,0.023764525095184688,0.13888069071744777,0.9692284238493023,0.8906900791720278,13.538205708137065,-1.6051783735660137,1.4535537343406015,1.3898411435521618,0.47142042689192687,-0.09245455260165514,-0.8564815939771688,13.111941617576854
-2948.028648172561,-2954.9563834781698,-2954.9563834781698,0.0,0.023734590547596107,0.13103444454387203,0.9169401170421286,0.8874016615740182,13.412143585634245,-2.833553885868566,1.1395473369634912,0.8636637939170415,-0.7291249066240848,0.8095138294161335,0.8319009533804145,13.277064177670706
-2831.181186674274,-2838.1109199825455,-2838.1109199825455,0.0,0.020896272583774047,0.1153047980212482,1.0123335534092726,0.9272642862433906,13.554527679463463,-2.1003974896090467,1.3852965011788574,0.8847624364317221,-0.45187322844270805,-0.8435598306723666,0.24550597237572935,13.191092372818314
-2356.4743490064952,-2363.4060803174293,-2363.4060803174293,0.0,0.021014917964239162,0.13088683431797654,0.9282824532926203,0.8398326590686856,13.649531020799989,-1.806806938187706,1.362704766555239,1.3173897579353206,0.23345613810204924,-0.24489324575232518,-0.9302204075468632,13.187140092801329
-2131.8514297493016,-2138.7851590628984,-2138.7851590628984,0.0,0.02174928327676419,0.11210038533655942,0.9466078032154743,0.9139967922316978,13.702013624447826,-2.093072622916852,1.4918822059253454,1.4930324698182014,-0.24321950489295818,-0.4273224362940373,-0.21452452821058476,13.125481533879107
-2072.080714709918,-2079.0164420261776,-2079.0164420261776,0.0,0.02360457364464494,0.12187663176180857,0.9953211582502832,0.8268864032126177,13.442993400402102,-2.733247679801538,1.0152089809702967,1.4224148502656055,-0.8984018647460723,-0.5953813830232622,0.59749111620648,13.272262255036527
-2053.65683380164,-2060.594559110594,-2060.594559100606,0.0,0.021876358004665884,0.1281512506198791,0.9530594462709523,0.8552170270570323,13.592195060891699,-2.5025354958973294,0.9960057572057159,1.4258906680808296,-0.8172333594732129,-0.792560276035857,-0.08060405739361998,13.281110239791749
-1917.287797958017,-1924.227521279602,-1924.227521279602,0.0,0.021489757779466056,0.10453322941026769,0.9419794551210565,0.9017811981280852,13.692512624566051,-2.151015770934486,1.4426198151313354,0.2641463257019717,-0.9813013888531135,0.12960846407206938,0.5162170954160392,13.137507267467978
-1884.3719590810222,-1891.3136804052697,-1891.3136804052697,0.0,0.024032248032937638,0.12724627836408842,0.9690761435254966,0.8802137125553827,13.313893167808484,-1.2293190706861732,1.4607137596759117,0.2640098123061442,-0.8578167887110275,-0.5327104722625091,-0.28229736090451096,13.039663983109163
-1767.8518838104103,-1774.7956031373205,-1774.7956031373205,0.0,0.02367085263898846,0.1370379354756474,0.94733703300854,0.8301336433943153,13.890222091827678,-2.1932658505493046,0.9389930028385036,1.1994549263517373,-0.39636711718204376,0.03756939815585314,0.34723619632591873,13.256994847389718
-1622.888580553244,-1629.834297882817,-1629.834297882817,0.0,0.02167619243153223,0.13682843031529818,0.9340545010577533,0.7816337057663603,13.36039315385824,-1.5965716007705872,0.8880475602894135,0.6558384900531995,-0.955573462277411,0.7428423852040027,0.37739789393681344,13.291179728845563
-1618.5309325262988,-1625.465920715857,-1625.4533285430036,0.0,0.021748436662506043,0.1243285358130871,1.0195400483866792,0.9378157687285076,13.2464776087974,-1.550872999870581,0.7657598839486696,0.8689130902352586,-0.5750513346180726,0.4305345778592018,-0.3911931409363949,13.211362462954588
-1617.4157042194229,-1624.0818636745441,-1623.855736579398,0.0,0.022197626825293706,0.13789363952406394,0.9785850143339121,0.699176206234188,13.58921392081336,-2.077701154017315,1.1265371654148868,1.0747393908086043,-0.7283201239354358,0.2498593114207719,-0.13736255047526513,13.266934554786515
-1594.577063857503,-1601.5287751949434,-1601.5287751947421,0.0,0.02110938763541062,0.10843572931429445,0.9496376147039198,0.929429570538416,13.432549710629939,-2.4685531237083786,0.954324380963874,1.1942952620996703,-0.8137749350691219,0.8242077117271116,-0.8328574070834391,13.204891237743398
-1588.5257347933227,-1595.4770921712413,-1595.4747410403102,0.0,0.024226623940334396,0.12682603604214054,0.9891130503777956,0.8739530167490195,13.237314375063427,-1.9747873438920753,1.0111740097899118,0.8362989987358815,-0.9108921180807825,0.791061684359339,-0.032893489546837795,13.126277137356233
-1584.6405919213512,-1591.5759625704993,-1591.5558985531923,0.0,0.02303348767170475,0.1269629464586414,0.9217842888466772,0.872703413854899,14.154491329323038,-1.2345771921474054,1.2358692217242828,0.06441785961865787,-0.26044578503362614,0.30257311207070425,-0.9934364378745444,13.28332360856771
