# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.90914,13.35737,-0.08552,0.88249,0.92844,0.17134,-0.41059,-0.15323
13.26462,13.47308,-1.40132,1.37340,0.40874,0.11131,0.19334,-0.57505
12.89562,14.34508,-0.49480,1.29280,1.01130,0.40101,-0.31527,-0.99783
12.59183,14.27734,-1.82470,0.97561,0.21076,0.52452,0.89324,-0.87091
12.71172,13.87546,-1.08812,1.35106,0.08106,-0.24101,-0.10167,0.55142
13.28151,14.11297,-2.57415,1.26101,0.90835,-0.89554,0.32372,-0.20088
12.80633,14.18241,-1.56913,0.80794,0.31916,0.74871,-0.21344,-0.31076
12.86697,13.30063,-0.72750,0.99596,0.75588,-0.69845,0.56694,-0.10950
13.18384,13.46509,-0.76739,1.49489,0.63859,0.46895,-0.18949,0.50824
13.23354,13.47089,-1.91523,1.22701,0.38363,0.15990,-0.74048,0.89402
13.07346,13.57008,-1.31103,1.07340,0.75520,0.01431,0.81894,-0.37399
12.75150,14.31524,-0.56809,1.49142,1.06373,0.47687,-0.68723,0.02024
12.41080,13.84285,-1.45983,1.28632,0.51006,-0.40702,0.04829,0.04121
13.19459,13.43487,-0.71502,1.17907,0.99514,0.03442,0.88122,0.27403
12.74191,14.08152,-0.96317,1.48174,0.91351,0.35461,0.98835,0.87010
12.53188,13.76216,-2.85759,1.40238,1.25906,-0.28996,0.71464,-0.96156
12.94370,13.59679,-2.50397,0.95429,0.19337,0.57779,0.39889,-0.05284
12.53465,13.49392,-1.33999,0.88432,1.18132,0.61656,-0.01621,0.71054
12.62049,13.37061,-2.15748,0.91157,0.80264,-0.99205,-0.14774,0.51007
12.95527,13.77465,-0.40230,1.28594,0.14626,-0.59296,0.93402,0.00588
13.02046,13.78740,-2.91224,0.71717,1.11103,-0.11414,-0.54898,-0.54481
13.06767,14.12715,-1.16556,0.95066,1.28596,0.69484,-0.18520,0.61055
12.90075,14.19251,-1.97340,1.18713,1.29114,-0.91524,-0.28201,0.65853
12.81249,14.03781,-1.67804,1.17153,0.41210,-0.89004,-0.48985,-0.93559
12.70296,13.56897,-1.57464,1.31519,0.26497,-0.09342,0.52928,-0.62447
12.57183,13.63377,-0.33939,0.72712,0.68326,-0.84631,0.74495,0.63042
13.15852,14.02703,-2.76566,1.08429,0.21295,0.90001,-0.49636,-0.53471
12.66672,13.77951,-2.57335,0.96038,1.11337,-0.43831,-0.05812,-0.90050
12.55472,13.46880,-0.02942,1.35136,0.55964,0.50638,0.73386,-0.79287
12.70643,13.28965,-2.22527,0.89745,0.71977,-0.19101,-0.83221,-0.07774
13.07246,14.16370,-2.89347,1.49146,1.13139,0.28666,0.68238,0.21302
12.85988,13.99688,-2.06213,1.27609,1.44607,-0.29747,-0.11913,0.31956
13.13349,13.71717,-0.37068,1.10202,0.58978,-0.97760,-0.70555,0.91805
12.89355,13.28106,-2.42428,0.91378,0.76246,-0.89363,0.89245,-0.01669
12.55945,14.20185,-2.98746,1.37817,1.29523,-0.93570,-0.15011,-0.52478
12.46302,14.35666,-1.91720,1.23807,0.92440,-0.85994,-0.18918,0.74092
12.80596,14.33769,-1.15150,1.28474,1.47525,-0.67221,-0.55243,0.63809
12.99727,13.83848,-0.07233,0.82519,0.82623,0.12462,-0.01028,-0.59609
12.42205,13.73028,-0.60561,1.24828,0.81686,-0.72959,0.21066,0.54995
12.88915,13.34912,-0.27939,1.47067,1.01950,0.45176,-0.69359,0.51799
13.23386,14.07710,-0.69486,1.46642,0.75309,0.16037,-0.98214,-0.64872
12.87719,13.26342,-0.00953,0.94248,0.14346,0.55574,-0.62761,0.40380
12.60741,14.05942,-2.92251,1.43919,0.74623,-0.11096,-0.92519,-0.93372
12.42361,13.90380,-0.59063,0.77168,0.78542,0.38341,-0.45402,-0.83766
12.68290,13.71943,-0.25016,0.90537,0.58704,-0.68367,-0.77490,0.24487
12.91755,13.99140,-1.92007,1.44519,0.05468,-0.29709,-0.86795,-0.73021
13.04160,13.62271,-0.96790,0.85194,0.30596,0.33257,0.43186,0.45096
12.85288,13.62658,-2.22837,1.05444,0.87312,-0.54029,-0.76285,0.20854
12.46091,13.36298,-0.26479,1.06444,1.42861,0.48192,0.56571,-0.15311
13.01663,14.18478,-0.72437,1.06382,0.21491,0.26246,0.66758,-0.83392
13.23295,13.71979,-1.52081,1.22587,0.20304,0.82821,0.18247,0.45479
13.00194,14.39677,-0.56091,0.75305,1.34883,0.47049,0.73754,-0.55390
12.55864,13.80089,-1.04175,0.77487,1.18173,0.77196,-0.25352,-0.27176
12.41365,13.29693,-1.23925,0.76815,0.14474,0.47359,0.27607,0.94228
12.83391,13.25623,-2.27348,0.80333,0.04448,0.86013,0.62801,-0.64768
13.26245,13.36336,-0.30875,1.18889,0.32660,-0.33167,-0.04724,0.54018
12.69049,14.07578,-0.67239,1.47111,0.32564,-0.31945,-0.09473,0.45352
12.73244,13.55458,-2.49624,0.91392,1.44904,0.26510,-0.82994,-0.65053
12.87401,14.01224,-2.17511,1.44514,0.99273,-0.39759,-0.56789,-0.34531
12.64421,14.11662,-0.42546,0.71246,1.07630,-0.82788,0.18263,0.47439
12.52699,14.16916,-0.73885,1.18204,0.51590,0.88197,0.38810,0.09137
12.55868,13.83324,-0.05942,0.99783,1.11264,0.37119,0.21726,-0.60056
13.25581,13.96686,-0.26438,0.97901,0.82568,-0.27522,-0.38821,0.93146
12.44672,13.75831,-0.05338,0.98004,0.17231,-0.45764,0.25275,0.29906
12.58407,14.38365,-0.28858,0.87211,1.24211,-0.72318,0.12308,-0.26679
12.60910,13.44211,-2.37800,1.42936,1.26627,-0.70405,-0.07035,0.24769
13.14976,13.73181,-2.46266,1.08159,0.30128,0.40850,0.22522,-0.78972
13.18200,13.95546,-0.73094,0.73065,1.01279,0.06489,0.14301,-0.23806
12.50321,13.39974,-2.30982,1.45958,1.28906,-0.60302,0.53875,-0.20782
12.78753,13.80043,-1.93685,0.97473,1.45367,-0.07009,-0.33288,0.22775
12.47295,13.91789,-2.18108,0.76714,0.85198,0.51169,0.09583,-0.99202
12.62482,13.53091,-2.45040,0.77890,0.35500,-0.09559,0.63579,0.95318
12.71155,13.77483,-2.92367,1.45120,1.11514,0.94792,-0.75340,0.02831
13.14235,14.37325,-2.99067,1.30721,1.38791,-0.16633,-0.18157,-0.56968
12.83223,14.39796,-2.71730,1.17807,0.06606,0.95335,0.50338,0.16549
13.17401,13.36642,-2.31210,1.11167,0.75044,0.12678,-0.73657,-0.18886
12.81487,13.77409,-0.91287,1.31405,0.90925,0.76060,0.63030,0.25944
12.67485,14.15897,-1.07008,1.18199,0.07332,0.64492,-0.57920,0.30980
13.16982,13.79916,-1.90883,1.15998,1.00042,-0.39748,-0.24478,-0.32998
13.11835,14.24137,-0.13373,1.45174,0.43127,0.95171,-0.32683,0.59330
12.71103,14.39979,-1.74448,0.87405,0.90513,0.51033,-0.76982,0.68112
12.70025,13.45737,-1.94851,0.77509,0.63150,0.42699,0.62115,-0.22949
12.59295,13.88794,-0.28668,1.10898,1.05842,0.99388,0.25837,-0.35640
12.94479,14.36165,-0.82201,1.39076,1.33836,0.44769,0.23505,-0.58671
13.16950,14.11100,-0.01275,1.44434,0.53828,-0.14625,-0.56899,-0.28494
13.21558,13.83588,-2.00759,1.36468,1.36728,0.27708,-0.08773,-0.22186
13.18891,13.73395,-0.11627,1.21449,1.31102,-0.25320,0.38947,0.91500
12.69243,14.19067,-0.48532,1.11293,0.24401,0.78515,0.16664,-0.63654
13.29230,13.25669,-0.74667,1.02482,0.29634,-0.78570,-0.10391,0.37063
13.01179,13.29514,-2.68008,0.80887,1.15724,-0.63349,-0.84301,0.16691
12.96359,13.33420,-1.42196,1.18252,0.69997,-0.27059,-0.26339,0.92053
12.94795,13.91741,-0.96800,1.13565,0.40093,-0.25533,-0.99292,0.41226
12.67298,13.98241,-1.30242,0.76852,0.83090,0.35210,-0.82924,-0.89972
13.21748,13.51260,-2.73550,0.87775,1.49569,-0.71445,0.17088,0.38873
12.98234,13.86895,-1.21167,1.48817,0.27552,0.66431,0.04051,-0.94810
12.60402,13.88075,-1.17207,0.91966,0.86156,-0.52356,-0.76502,-0.68123
12.86758,13.93204,-0.96608,1.18383,0.61301,0.44744,0.11776,-0.27039
13.04537,13.27897,-1.10824,0.72398,0.93481,-0.36468,0.51337,0.51315
12.80957,14.15607,-2.49419,1.31107,0.79812,-0.55552,0.49842,0.70171
13.08198,14.28963,-1.17333,1.01945,0.03369,0.07796,-0.35331,-0.76674
12.49330,13.69107,-0.40358,1.02519,1.48951,-0.96894,0.74275,-0.60274
