# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.41625,13.87110,-2.82094,0.97442,0.80772,0.82105,-0.33700,0.86559
12.45686,14.00544,-2.95498,0.74263,0.43492,0.32999,-0.22378,-0.89527
12.41449,14.17981,-2.35024,1.33404,0.19175,0.07138,-0.47284,0.65407
13.09427,14.36389,-2.55642,1.32593,0.79806,-0.88592,0.79239,0.52468
12.42346,14.20000,-0.85125,0.91240,0.80412,-0.07016,-0.62584,0.52293
13.29987,14.04095,-2.42666,1.31087,0.10320,0.99770,-0.02774,-0.67938
12.60039,13.76836,-0.91700,1.35654,0.27440,0.70938,-0.46886,-0.93115
12.68014,14.28347,-2.69157,1.11619,0.55422,0.24217,0.87773,0.78743
13.18833,13.99794,-0.93167,1.07226,1.34587,0.61659,-0.31471,-0.84933
13.13134,13.40995,-1.32790,1.36846,1.30591,0.91171,0.09630,0.57056
12.84347,13.91733,-1.92670,1.24445,0.03715,-0.24432,-0.27588,0.13496
13.03068,14.25585,-0.72864,0.93358,0.29933,0.46436,-0.79588,0.87303
12.67617,13.42087,-1.36691,1.36614,0.63236,-0.86305,0.64366,-0.12557
13.02539,13.51104,-0.24228,0.96734,1.40670,0.65540,-0.48586,0.43268
12.55737,14.28059,-1.84858,1.11831,1.23601,-0.25690,0.47085,0.89066
13.27598,13.26235,-0.32580,1.46515,1.00132,-0.34463,-0.57698,0.17519
12.68023,14.31181,-1.45407,1.18450,1.06318,0.85006,-0.11793,0.81637
12.41114,13.74449,-0.56643,1.03192,1.15532,-0.44702,0.08206,0.78450
12.90005,13.26374,-0.15325,1.31228,0.57729,0.17223,0.01087,0.49352
12.51213,14.37696,-2.66181,0.83737,0.04705,0.18550,0.75029,-0.48959
12.74961,13.57091,-1.07815,1.05754,0.54565,0.61745,-0.93849,0.08641
12.58001,13.54777,-2.05928,1.43032,1.32776,-0.87544,-0.17884,-0.93122
12.61408,14.38380,-1.29706,1.03841,1.04005,-0.78200,-0.49470,-0.16201
13.07250,13.42801,-2.07205,0.88127,0.49055,-0.18162,-0.75874,0.55438
12.48837,13.93695,-0.19187,1.11870,1.47875,-0.50742,0.92908,0.44512
12.87835,14.03687,-0.66928,0.85178,0.95786,0.86835,-0.96495,-0.02404
12.91520,14.35279,-2.08057,1.03659,0.07174,-0.39188,0.80652,-0.04512
12.86591,13.99125,-2.41923,1.35671,0.59162,0.50564,0.06398,-0.12949
12.61661,14.05917,-2.53842,0.73006,1.08175,-0.47271,0.93395,-0.55957
13.09294,14.20618,-0.76885,1.10550,0.96355,0.98200,0.69060,0.32731
12.78711,13.53702,-2.81615,0.81815,1.21543,0.73801,0.70566,-0.12333
12.69096,13.95748,-0.14484,0.70973,0.62375,0.10367,-0.14497,0.84327
13.20295,14.04014,-2.10714,1.33063,0.13095,-0.00014,0.34150,0.89934
12.82290,14.05779,-0.57618,0.97082,0.71377,-0.50619,-0.10154,0.91381
12.75824,14.14690,-1.47276,1.48436,0.69980,-0.76935,-0.55864,-0.29551
12.85261,13.65832,-2.85003,1.18196,0.33782,-0.08870,-0.59242,-0.97386
12.85896,13.65506,-1.82660,1.40280,0.44118,0.65370,0.14842,-0.85401
13.10268,13.22871,-1.11137,0.72680,0.94860,-0.83135,-0.91274,-0.65848
12.92504,14.17663,-0.74407,1.33081,1.15881,0.17561,0.73466,0.97632
12.68966,13.62940,-0.46365,0.79980,0.46620,-0.15023,0.02454,-0.39966
13.16767,13.56654,-1.07558,1.07571,1.16187,0.69910,0.63677,0.04548
12.99928,13.20290,-1.26660,1.32557,0.59247,-0.38225,-0.58936,0.53653
12.77531,13.68022,-2.81493,1.14966,0.07667,-0.44021,0.29170,-0.01079
13.13972,13.81729,-2.50428,1.45812,1.15192,-0.85769,-0.70703,0.70491
13.20614,13.87037,-1.05630,1.39613,0.98026,-0.24576,-0.20040,0.08130
12.48790,13.35600,-2.90214,1.09896,0.26934,-0.89642,-0.41740,0.18566
12.74886,13.23417,-1.33996,0.72632,0.81346,0.16312,0.47141,0.53852
12.64736,13.92339,-2.26870,0.82119,0.71910,-0.91177,-0.54917,0.54739
12.99282,13.20399,-1.24529,1.37782,1.16516,-0.88510,0.51005,-0.33507
12.40956,13.36697,-2.27955,1.28740,0.69374,0.49224,0.80778,-0.94555
12.50356,13.39188,-0.36016,1.49284,0.78102,0.11628,-0.10105,0.54417
13.00996,14.15370,-1.07171,1.35603,1.37031,0.49884,-0.13548,0.48559
12.63348,13.54616,-2.11738,1.20317,0.20227,-0.38082,0.94876,0.46410
12.44782,14.11410,-1.57088,0.81249,1.33901,-0.86947,0.25656,0.69435
12.61481,13.40011,-1.31660,0.77427,0.29255,-0.45015,-0.29009,-0.61522
12.53812,13.37252,-2.11028,1.48617,1.49666,-0.94747,-0.74274,0.56608
12.73123,13.94596,-2.99710,0.96494,1.44501,-0.82411,-0.43914,0.49452
12.78038,13.69588,-2.59837,1.46465,1.27562,0.52169,-0.42255,-0.63087
12.77298,14.05047,-2.05487,1.18895,0.16886,-0.82540,0.55144,-0.37952
12.69044,13.36859,-1.72346,1.10821,0.44806,0.20839,-0.75881,-0.52608
13.26465,13.74138,-2.47463,1.17889,1.35557,0.99653,-0.52869,0.30374
12.47291,13.22910,-1.68879,1.12614,1.17381,0.22028,0.77956,-0.37156
13.02192,14.16752,-1.65630,1.12257,1.04546,0.78993,0.46313,-0.29064
