# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.67781,13.90815,-0.19659,1.47708,0.41509,0.76245,-0.80980,-0.50157
12.67243,14.24248,-1.27564,0.70071,1.11904,-0.72379,0.39945,0.04510
13.29036,13.84969,-2.43830,0.81793,0.99782,0.49827,-0.19248,0.18059
12.72904,14.39495,-2.80612,1.15999,0.33807,-0.48173,-0.09887,-0.90535
12.66411,13.92061,-0.55125,1.14661,0.83784,-0.06989,-0.44240,0.29004
12.99704,14.37303,-0.90253,1.48255,1.42149,0.06614,-0.42049,0.87048
13.24698,13.62883,-2.65373,0.97387,0.57787,-0.33972,0.91073,-0.80117
13.03831,14.10383,-1.22936,1.19296,0.88509,0.12577,-0.69833,-0.34905
12.88555,13.87809,-2.07924,1.22799,1.11950,0.47836,-0.57600,0.10156
12.99438,14.22392,-2.71127,1.37466,0.74985,0.00010,-0.38644,0.14317
13.11743,13.95010,-0.76064,1.11166,1.24131,-0.57696,0.34002,0.69025
13.09313,13.84149,-2.48491,1.33467,0.98116,0.37802,0.85268,0.81510
13.29961,13.33626,-1.60179,0.88708,0.83257,0.26623,-0.72658,-0.84362
13.06033,14.26466,-0.29963,1.02211,0.43865,-0.69011,-0.84179,-0.56275
12.94146,14.13566,-2.23001,1.10217,1.27199,0.77147,-0.86567,0.24119
12.69504,14.28264,-0.91969,1.14939,0.57062,-0.62607,-0.52147,0.14385
13.08877,13.60723,-0.54636,0.76877,0.65949,0.58403,0.12861,0.57591
13.10217,13.48514,-0.87140,0.87663,0.51848,-0.08008,-0.23936,0.90407
12.50992,13.92834,-0.66531,1.44485,0.39550,-0.63335,-0.13328,-0.07885
12.65540,14.05267,-2.32544,1.26554,1.48269,0.17493,0.51210,-0.14210
12.41113,14.10959,-2.10772,0.85662,0.04004,-0.91780,0.99733,0.38944
12.73437,13.47170,-1.06922,1.26244,1.07738,0.17776,0.88170,0.70150
12.51683,13.67818,-1.56626,0.73954,1.46608,0.47322,0.44818,-0.72446
12.48037,13.40749,-1.06589,1.36820,1.41233,0.46966,0.86928,-0.39230
12.43299,14.22489,-2.88548,1.36303,1.41381,-0.91173,0.97158,0.13897
12.96490,14.20013,-2.66774,0.88046,0.15384,0.49032,0.73447,-0.23370
13.10819,14.33753,-1.89117,0.80950,0.00305,0.62140,0.43062,0.88932
12.84182,14.13679,-0.43792,0.95640,1.41959,0.21922,-0.30930,0.30160
13.27941,13.74144,-0.56749,1.19660,0.48723,-0.91916,0.31677,0.64800
12.91508,14.20618,-0.76790,0.86437,0.75478,-0.66324,0.53843,-0.04649
12.77086,14.16061,-1.29677,0.92593,0.87449,0.21077,-0.26576,0.15949
12.93188,13.50771,-2.13922,0.84792,0.32012,-0.48135,-0.14170,0.69727
12.66239,13.44456,-1.09118,0.92558,0.17676,-0.50355,0.42966,0.25170
12.75205,13.72915,-2.66261,1.04368,1.03050,-0.61941,-0.43675,-0.95169
12.44392,13.97097,-0.66110,0.78135,0.66739,0.88373,0.59284,-0.74747
13.14648,14.18587,-0.73891,0.85782,1.42104,0.20262,0.67100,0.09169
12.66722,13.23324,-1.89150,1.30827,1.42778,0.40079,0.34553,-0.65708
12.79414,13.57570,-0.40780,0.91825,1.24591,-0.86030,0.61934,0.19748
12.54139,13.73726,-2.13466,1.22545,1.23010,-0.64735,-0.27249,0.47531
13.04975,14.26587,-0.17698,1.18133,1.36243,-0.57118,0.51758,-0.50731
12.44407,14.18425,-0.12310,0.88929,1.26101,-0.32117,-0.09734,0.25923
13.14324,13.95079,-0.70712,1.18498,0.24639,-0.90584,-0.64069,-0.51402
12.89164,13.55784,-0.05586,0.92364,0.44351,0.89163,-0.92764,0.08837
12.87637,13.43254,-0.48633,1.39047,1.01691,0.33167,-0.06303,0.79356
12.82250,13.29077,-2.97969,0.92629,0.09093,-0.49440,0.36177,-0.73775
12.98157,14.09961,-1.87463,1.41200,0.82668,0.33940,-0.80557,0.45965
12.97873,13.96897,-0.68590,1.35592,1.26171,-0.85673,0.15396,-0.39296
12.80713,13.85252,-0.95895,0.93676,1.36561,0.69944,-0.96506,0.76023
12.82836,13.27666,-1.42737,1.46268,0.15317,-0.19754,-0.70417,-0.49030
12.87684,14.22365,-2.96999,1.23142,0.28993,-0.39564,-0.30102,-0.28519
12.69030,13.43984,-2.58306,0.81159,1.25765,-0.70716,-0.29259,-0.21159
12.83801,13.75562,-1.74389,1.07090,1.06970,-0.12794,-0.02789,-0.71435
12.75996,13.23478,-2.09125,1.04494,0.16480,-0.81515,-0.21821,0.12175
13.06715,13.77888,-0.99611,0.80538,0.88424,0.03864,0.96419,0.07941
13.23433,14.31267,-2.05640,1.29450,0.31291,0.80129,0.24267,-0.97766
13.25877,13.86534,-2.77835,1.24893,1.47333,0.77766,0.20268,-0.81934
12.60348,14.03397,-0.42359,0.83326,1.37641,0.43508,-0.00321,-0.92202
13.17938,14.37133,-0.20528,0.70795,0.85754,-0.74451,-0.59703,-0.91619
12.71053,14.07406,-2.45046,1.49195,0.45684,0.93499,-0.25916,0.54906
13.03264,14.09808,-2.51809,1.32901,0.42725,-0.84536,-0.34278,0.09343
12.86224,14.29454,-2.06554,1.09967,1.31791,-0.61677,0.19465,-0.54002
12.43346,14.18948,-0.01372,0.74342,1.29611,-0.82388,0.92952,-0.58079
12.68588,13.43222,-1.23821,1.15833,0.50544,0.63111,-0.22176,0.24810
13.00273,13.57346,-2.97310,1.41250,0.94015,-0.95045,-0.76137,-0.25792
13.05427,13.86189,-0.02180,0.80359,0.41696,-0.59825,-0.35293,0.85252
13.03877,13.72508,-2.38927,0.86355,1.42439,-0.56331,-0.84087,-0.40447
12.61251,13.65598,-2.32745,1.39842,0.28918,-0.75194,-0.85749,-0.59152
12.57234,14.17556,-2.33454,1.00536,0.06607,-0.29483,-0.93046,-0.89476
12.66042,13.59052,-1.68771,1.42079,1.01763,0.59413,-0.28279,0.69253
12.82132,13.23836,-2.25886,1.31862,1.01516,-0.67358,0.06542,0.60223
12.84936,13.29604,-1.32521,1.28395,0.20523,0.62720,-0.36005,-0.62640
12.77638,14.39323,-1.21294,1.36190,1.40586,-0.42569,-0.86747,-0.25534
12.66755,13.77891,-1.04517,0.97364,0.16451,-0.48033,0.88645,0.65649
12.99098,13.45022,-1.19538,0.86374,0.65196,0.84380,-0.92199,0.71249
12.81589,14.10815,-1.77175,1.42070,0.74253,-0.80546,-0.43501,0.60137
13.02585,14.04148,-2.96762,1.03888,1.08458,-0.54084,0.71158,-0.22511
13.11886,13.37222,-0.75404,1.45436,0.71139,-0.08067,-0.58682,-0.43072
12.81102,14.00116,-2.61326,1.40421,1.39024,-0.08024,-0.96792,-0.81535
12.87690,13.33388,-2.01414,0.98161,0.43447,-0.19477,0.03275,-0.37273
13.01368,14.33529,-2.96667,0.81543,1.47839,-0.30132,-0.31137,-0.63900
12.79299,14.13066,-1.95671,1.29467,0.74737,0.16338,-0.81759,-0.04790
13.26956,14.38577,-1.35447,1.15666,0.42683,0.28931,-0.48399,0.84502
12.55272,14.11130,-2.70520,1.38948,1.19512,0.98519,0.69842,-0.58204
12.93092,13.99659,-0.34194,1.27171,0.08593,0.53264,-0.04967,0.83675
12.69671,13.91240,-2.19415,0.98471,0.30760,-0.58773,-0.72493,0.96731
12.91986,13.51515,-2.48989,1.08079,0.04503,0.44747,-0.75243,-0.29006
12.92699,13.83642,-0.86067,1.49243,0.34670,-0.91896,-0.96334,0.58519
12.60932,13.35438,-1.50874,1.47959,1.33144,-0.83490,-0.35374,0.61254
13.01112,13.20908,-1.96388,1.20722,0.60676,-0.96316,-0.21738,0.95665
13.09801,13.25564,-2.76584,0.74337,0.41742,0.94225,-0.63141,0.80191
12.88287,13.78617,-1.77485,1.44469,0.32455,0.41570,0.15325,0.24900
12.71496,13.42966,-0.91171,0.86100,0.64751,0.40710,-0.79089,-0.06029
13.25733,14.36904,-2.91329,0.80897,0.16941,-0.71179,-0.76358,0.47565
13.11117,13.38833,-2.39653,0.93002,0.41155,0.58880,-0.52788,-0.44438
12.84526,13.91274,-1.84423,1.38286,1.06865,0.65962,0.73002,0.10413
13.21301,13.33383,-1.99683,1.46792,1.09643,0.15784,0.24823,-0.58825
12.41331,14.01973,-2.34446,0.97177,1.42647,-0.05843,0.23447,0.80243
13.04921,13.78194,-2.64317,0.91313,0.22140,-0.13551,0.12368,-0.75462
12.98616,14.29438,-2.98286,1.06262,0.36169,-0.36879,0.37916,0.76572
12.79947,14.26582,-0.88397,1.29497,0.24438,-0.25697,-0.70552,0.65668
12.90855,14.17867,-1.40830,0.72658,1.32943,0.04093,-0.32091,-0.92647
13.12453,13.93261,-0.99242,1.34770,0.41579,-0.01570,-0.70026,0.18562
12.65900,13.89015,-2.69558,0.89264,0.54353,-0.59865,-0.72055,-0.06085
13.10597,13.81992,-1.67196,0.86484,0.50854,0.69696,-0.59712,0.28376
12.42929,14.10041,-2.38429,1.46259,1.34392,-0.40198,0.26666,-0.72659
12.60933,13.97996,-1.54182,0.78729,1.44850,-0.47239,-0.04472,-0.80980
12.41017,13.91057,-1.43919,1.23688,0.67217,-0.07698,-0.87319,-0.23854
12.57840,13.96692,-1.75991,1.41163,0.42806,-0.51041,-0.70495,0.61566
12.93514,14.33791,-2.24954,0.98212,1.35517,-0.72713,-0.55441,-0.40600
13.18439,13.70023,-1.61257,0.87467,0.02181,-0.77991,-0.04315,0.23977
12.66861,13.84164,-2.70468,0.84522,0.92917,0.84980,-0.72246,0.50729
12.84799,13.90937,-1.64251,1.02806,0.20816,-0.45795,-0.67550,0.85754
12.53320,14.16806,-2.14041,0.93103,1.16061,-0.31619,-0.81970,-0.54602
12.72129,13.84356,-0.57771,1.16712,0.74410,0.48421,0.45042,0.20434
12.45358,13.80420,-1.14346,1.09635,1.17544,0.45613,0.97902,-0.75068
13.18517,13.24195,-2.27112,0.72340,0.00936,0.99457,0.06103,-0.40916
12.49703,14.31667,-2.52097,1.22612,1.47898,0.72730,0.22926,-0.95840
12.80650,13.48039,-0.39415,1.21386,1.13208,0.28684,0.07481,0.75426
13.21838,13.42938,-0.82557,1.43637,0.58055,-0.91365,0.29764,0.00853
12.80891,13.26036,-0.87969,1.28839,0.10068,0.72022,0.59643,-0.99631
13.26253,13.58080,-1.57468,1.00332,0.14632,-0.80463,-0.08260,-0.69686
13.07193,13.71354,-0.19993,1.46013,0.55917,-0.29575,0.98943,-0.32547
13.16431,13.55367,-1.69723,0.96801,0.26347,-0.32294,0.87729,0.37168
12.42070,14.15323,-1.61933,0.90571,1.38358,-0.83809,-0.85059,-0.50643
13.28169,13.70108,-2.35963,1.01729,0.83140,0.51431,0.20668,-0.94491
13.24105,13.72368,-0.22885,0.96947,0.39530,0.67593,0.17384,0.83937
12.92194,13.46546,-1.86448,1.02414,0.75955,0.70125,-0.26486,-0.46766
12.64126,13.55704,-0.72919,1.40591,0.62159,0.06903,-0.68952,0.84389
12.63558,13.79273,-2.73601,1.03931,1.10307,0.18110,-0.94259,-0.22234
13.18888,13.42597,-2.74059,0.96097,0.90080,0.35426,0.17210,-0.88744
12.93048,14.11193,-2.10118,1.07824,1.45072,-0.03962,-0.28367,0.57602
12.57317,13.77546,-0.72854,0.93504,0.99786,0.11232,0.58706,-0.64704
13.05401,13.32906,-1.24727,1.08492,1.13977,0.71219,0.34760,0.08838
13.04135,13.85994,-2.63286,1.02820,0.18408,0.12460,0.31215,-0.04710
