# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.75521,13.91649,-1.84002,1.31791,1.46530,0.03758,-0.71016,0.77420
13.26822,13.37185,-0.50728,0.90896,0.58117,0.12384,-0.81304,-0.31833
13.05298,13.79582,-0.41804,0.91383,1.38205,0.81595,-0.92152,0.41726
12.71081,13.62135,-2.42058,0.82211,0.64207,-0.35948,-0.17576,0.67518
12.88067,14.18936,-0.58496,1.47961,0.03139,0.41422,0.95864,-0.83142
12.61297,14.34287,-0.75378,0.73893,0.69126,-0.77435,0.44977,0.63693
13.14997,14.37081,-0.12433,0.72970,0.27145,0.62688,-0.21848,-0.93487
12.84853,13.67761,-1.80384,0.81483,0.49394,-0.21908,0.21397,0.25066
12.89162,14.23646,-1.17375,1.24941,1.32741,-0.73228,-0.81170,-0.31685
13.02926,13.54802,-0.89229,0.76558,1.48412,0.24337,-0.16833,0.40711
12.69730,13.98570,-1.34252,1.42631,0.74726,-0.25106,0.18620,0.51964
13.17692,13.46116,-1.65738,0.70355,0.72103,-0.42332,-0.82757,-0.23271
13.06558,13.53646,-0.26111,0.83368,1.26024,0.83102,-0.60225,-0.07634
13.05989,14.37019,-2.83172,1.42299,0.89200,0.29417,-0.23551,0.50289
13.19929,13.81887,-2.15087,1.01242,0.52350,-0.49808,-0.95690,0.40216
13.20223,14.14907,-1.00821,0.90949,0.16917,-0.16782,0.50630,-0.20076
12.53912,14.15939,-2.49230,1.18306,0.28208,-0.87059,-0.82090,0.44882
12.96043,13.81672,-0.87440,1.16125,1.05266,0.04810,-0.32038,-0.91274
12.63645,13.31447,-1.32948,1.18127,0.09835,0.75385,0.55107,-0.27624
13.26814,13.86316,-2.02190,1.39444,0.63493,0.27061,-0.23641,-0.29348
12.70200,14.06977,-0.45442,0.87562,0.72155,-0.10544,-0.20856,-0.99712
12.90237,14.14759,-0.28759,1.13530,0.35254,0.01592,0.53017,0.51631
12.84930,14.15924,-2.38992,0.82949,0.20821,0.67348,-0.47773,-0.42308
12.83983,13.22312,-0.75854,1.10544,0.74256,-0.24686,0.99064,0.44643
13.01302,13.57979,-2.64306,1.11242,1.00614,0.94725,0.46702,-0.07628
13.09186,13.84445,-1.75719,1.37580,1.09276,0.40603,-0.06899,0.52900
13.10940,14.32175,-1.82954,1.49352,0.28132,-0.24967,0.24675,-0.86587
13.19539,13.69682,-2.53683,0.89749,1.47348,-0.16399,-0.27141,-0.80032
13.13651,14.12861,-0.15482,1.41475,1.23674,0.49808,-0.59510,-0.07967
13.14187,13.97624,-2.92984,1.17163,0.26009,0.80431,-0.65985,-0.74851
12.65991,14.02317,-0.37855,0.92408,0.55746,-0.16298,-0.66248,-0.33585
12.49827,13.72289,-2.47872,0.75802,0.05140,0.06468,0.87438,0.24092
13.04583,14.19183,-0.76375,0.90103,0.39461,-0.69370,0.50464,0.51654
12.71990,13.51298,-1.59346,1.36346,1.10842,-0.37287,-0.81686,-0.28095
12.71307,13.90401,-0.15206,0.81495,0.52225,0.34179,0.31821,-0.06821
12.53588,13.37295,-0.72380,1.32066,0.07256,0.97327,0.87966,0.62643
13.27820,14.00288,-1.04590,1.17503,0.88413,0.30554,0.13044,0.29198
12.99134,13.54384,-0.53358,0.75963,1.12033,-0.66244,0.18137,0.57761
12.82304,13.94291,-2.49429,1.10296,1.02049,0.85107,0.14425,0.89834
13.16882,13.32143,-0.05560,0.83294,0.62683,-0.85467,0.33476,-0.39092
12.76659,14.37447,-1.25596,0.93865,0.20883,0.03977,0.50266,0.74218
12.81230,13.90739,-0.54251,0.91233,0.63243,0.68271,-0.76574,0.48179
12.94910,13.21570,-1.12041,1.01742,0.67105,0.18382,0.13170,0.36423
13.29484,13.63160,-0.69713,1.18611,1.30603,-0.98557,-0.17430,-0.09025
13.28229,13.79827,-2.58638,0.82155,0.43970,0.42737,-0.22303,0.04670
12.78901,13.66447,-1.78566,0.71452,1.05909,-0.61252,0.01925,0.93578
13.03054,13.88459,-2.47179,1.04618,0.00843,0.43465,0.77168,0.89620
13.19217,13.58077,-2.21766,0.97645,1.06350,0.70406,-0.13434,0.38217
13.01970,14.14976,-1.15656,1.18590,0.43584,-0.57213,-0.27017,-0.30077
12.48559,14.32267,-1.99885,1.47740,1.42946,0.93400,-0.81659,0.35774
12.95278,13.46855,-2.40356,1.20953,0.21766,0.36025,-0.45713,-0.99451
13.19624,14.00943,-2.98430,0.89420,0.25690,0.48531,-0.42949,0.56889
12.68005,13.89045,-2.87092,0.88771,0.87502,-0.82602,-0.01571,0.69075
12.86602,13.29423,-0.79375,0.74281,0.18236,-0.89079,-0.09049,0.82521
12.76330,13.34976,-1.18043,1.17659,0.23821,-0.87460,-0.71895,-0.53966
12.47704,13.77146,-1.99119,1.25407,1.30065,-0.40386,-0.92682,-0.93764
13.10152,13.22604,-0.74749,0.92499,0.42138,0.40201,-0.77771,-0.06444
12.80874,13.38717,-1.90436,0.78619,0.07871,0.21271,0.51538,0.66687
13.17547,13.85229,-2.14732,1.45302,0.44752,-0.88286,-0.33803,-0.92185
12.45207,13.84068,-1.38570,0.75903,0.70617,0.69627,-0.72719,0.38191
13.08904,13.80362,-2.36423,1.24710,0.49139,0.22328,-0.03239,-0.89546
12.96251,13.66462,-1.28490,1.43607,0.93915,0.61802,0.87506,-0.09091
12.91272,13.75058,-2.88344,1.32911,0.87500,-0.91169,0.99276,-0.03928
12.53913,13.42770,-1.71739,1.20789,0.84307,0.52313,-0.51063,-0.90640
12.94136,13.36149,-1.38066,1.23940,0.89507,-0.53393,-0.64751,0.92489
12.66855,13.37303,-1.84011,1.37014,0.24999,-0.73988,0.63519,0.68737
12.71006,13.52297,-1.39947,1.08923,0.83865,0.83715,0.46128,0.62832
12.78937,13.92981,-1.43280,0.97894,0.76332,0.09076,-0.59508,-0.12253
12.46450,13.43405,-1.25266,0.81985,0.27605,-0.92711,-0.26827,0.72779
