# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.96585,13.70945,-0.64913,1.11905,0.84887,-0.70091,0.77330,0.83829
12.77381,13.39024,-1.45717,0.87848,0.84193,-0.79534,0.50851,-0.52974
12.91613,14.31741,-2.22936,1.28319,0.29851,0.08135,0.82157,0.89170
12.53966,14.19360,-0.42118,1.38269,0.71447,0.45552,0.57866,0.16362
12.73868,14.07824,-0.36262,0.85366,0.07041,0.31040,0.89539,0.14132
13.23496,13.37659,-1.89913,1.34896,0.55105,0.10547,0.45472,-0.36867
12.82222,14.00250,-0.49088,0.85980,0.78352,0.22026,0.74058,0.09285
12.77616,13.99720,-0.69845,1.05871,0.79302,0.64598,0.97629,0.99028
12.98955,14.01953,-0.99988,0.95684,1.07005,-0.11167,0.91677,-0.53930
12.79329,13.74577,-0.83465,1.48544,1.34475,0.35656,-0.47186,-0.26789
12.42773,13.43066,-0.48413,0.84199,1.14059,0.08819,0.70036,0.65808
12.87660,13.25390,-0.94868,1.12823,0.21305,-0.34808,0.77283,-0.03013
12.49596,13.21304,-1.40351,0.91770,0.89585,-0.65463,0.66679,0.99570
13.00528,14.27343,-2.27841,1.31426,0.68419,-0.34304,-0.11914,0.60585
12.47001,13.46261,-0.14062,1.05063,1.40393,-0.03300,0.96883,-0.87545
12.99525,13.58561,-0.54672,1.24047,1.12757,-0.63119,-0.99829,0.78008
12.43874,13.53064,-2.14698,0.73960,0.35730,0.02597,0.96511,-0.67273
13.14230,13.84050,-2.52374,0.80830,0.09366,-0.92092,0.17364,-0.18337
13.26986,13.73087,-1.46253,1.13555,0.27739,-0.87300,-0.44073,-0.38224
12.62386,13.62623,-2.47084,1.17378,0.62258,0.97549,-0.19274,-0.42604
12.41478,13.37493,-1.27072,1.12403,0.66888,-0.38134,0.62623,-0.95346
12.47864,13.92215,-2.58117,0.80780,0.38986,0.85418,-0.88607,0.15883
12.89046,13.79098,-1.73089,0.80140,0.81520,-0.02620,0.02708,0.30198
13.17377,14.16522,-1.49179,1.40188,0.71151,0.35753,-0.08327,0.34741
12.78183,13.60541,-2.77500,0.77639,0.94376,-0.85446,0.92066,-0.21030
12.81402,14.36355,-2.22118,1.26590,0.08127,-0.55689,-0.61036,-0.49958
12.98360,13.58441,-2.39583,1.09718,1.45574,-0.46389,0.55605,0.63656
12.46890,13.54500,-1.15487,0.99259,0.13144,0.78299,0.76093,-0.18867
13.14337,13.59751,-1.03604,1.26230,0.38573,0.85435,-0.52604,-0.66509
12.95919,14.16500,-1.47863,0.95531,0.51886,0.58585,0.92716,0.99881
12.74690,14.14213,-1.06332,0.74116,0.11041,-0.46527,-0.44597,0.78924
12.48907,13.71412,-2.77699,1.44274,0.28615,0.38985,0.58113,-0.47621
12.62875,14.30695,-1.11224,0.95172,0.06716,-0.83648,-0.86501,0.42303
12.75812,13.36759,-2.21701,1.09470,0.98897,0.53244,-0.35995,0.54873
12.41726,13.85283,-2.10435,0.98116,0.71929,0.28634,0.30524,0.65355
12.56922,13.29300,-1.61761,1.08281,0.45322,-0.00422,0.10945,0.06910
12.62305,14.03454,-1.55855,1.02866,0.84583,0.58926,0.62840,0.68505
12.58644,13.22345,-0.25709,1.09449,0.51939,0.69168,-0.14468,-0.58820
12.88866,14.21677,-2.88594,1.18734,1.29581,0.28470,0.73160,-0.59418
12.83981,13.57283,-1.72763,1.44792,0.23675,-0.15100,-0.46964,0.19260
13.16229,13.63593,-2.84747,1.06837,0.88892,-0.16026,0.38731,0.91995
12.99631,14.14221,-1.53247,1.38407,0.39471,0.92997,-0.57900,0.41657
12.76951,13.88249,-0.86654,1.19514,0.30383,0.29860,0.32829,-0.02535
13.01971,14.16759,-1.89309,1.44369,0.87052,-0.20298,0.74691,-0.34029
12.82241,13.24678,-1.79621,0.84136,1.05140,0.08469,0.78527,0.86307
13.00796,13.59741,-1.06383,0.90196,0.93579,-0.44012,-0.24448,0.55535
13.27884,13.90972,-2.00314,1.27610,1.33113,0.87573,-0.81026,-0.62576
12.86102,14.22943,-2.25971,1.07560,0.90449,-0.71995,0.30610,0.09243
12.69716,13.72425,-2.98896,1.45867,1.12378,0.00773,-0.07897,-0.32316
12.44885,13.63686,-1.80437,0.75752,0.33311,0.97146,0.28597,0.14719
12.57649,13.47609,-2.03943,1.04701,0.17001,-0.55420,0.23851,0.84252
12.40418,13.28582,-0.37438,1.31707,0.15066,0.86905,0.58563,0.20708
12.53969,13.86240,-1.10235,1.25240,0.07362,0.72376,0.04557,-0.98016
13.20807,13.48564,-1.60825,0.74026,0.37474,-0.42376,0.30903,-0.91790
12.42391,14.29819,-1.25573,1.15151,1.02889,0.35859,0.94506,0.85350
13.08009,13.59426,-2.69069,0.92014,0.40729,-0.02510,0.93262,0.06754
12.78759,14.11286,-0.87909,0.78014,0.13956,0.06945,0.07704,0.58601
12.86343,14.15560,-0.76768,1.47762,0.81456,0.40527,0.97233,-0.61918
13.05473,13.97599,-2.01709,0.81194,1.28996,0.02222,-0.67237,-0.14612
13.24882,13.46441,-1.71809,1.34167,0.71668,-0.59645,-0.46956,-0.95784
12.67715,13.22394,-1.75996,0.91143,0.92242,-0.76470,-0.85449,-0.44475
13.09473,13.93877,-0.51230,1.27847,1.22794,0.39344,-0.46855,-0.62349
13.04071,13.21534,-1.47161,0.98773,0.50850,-0.67493,0.95130,0.66416
12.50368,13.72780,-1.22226,0.93204,0.97144,0.45400,0.56050,0.12705
13.17591,14.00005,-2.75236,1.01458,1.14673,0.98807,0.55433,-0.37510
12.50910,13.33762,-0.85132,1.48060,1.18737,0.46502,-0.92615,0.86906
13.14689,13.44830,-0.91784,0.90415,1.31467,-0.01509,0.61266,-0.96732
12.62672,13.93343,-1.87041,1.09812,1.17465,0.21946,-0.23381,0.86632
12.77190,14.31379,-1.74032,0.94006,0.25204,-0.86601,0.51278,0.30471
13.29836,14.13504,-0.66235,1.28591,1.03716,-0.17303,-0.09845,-0.13874
13.17703,13.98453,-2.83911,1.49756,0.10518,0.15794,0.60587,-0.40585
12.40949,14.22362,-1.27736,1.41929,0.23701,-0.02138,-0.86303,-0.02522
12.73506,13.98168,-2.58818,1.27481,0.11089,0.15233,-0.22608,-0.93302
13.12585,13.38743,-2.56016,1.24784,1.49355,-0.26133,-0.26329,0.77509
12.60155,13.39708,-1.35004,1.06346,0.53623,-0.05172,-0.63695,-0.19622
12.83118,13.41166,-0.82536,1.11915,0.74268,0.27740,-0.99625,0.83463
12.43075,13.21339,-2.24660,0.81567,1.17484,-0.75192,-0.85190,0.66145
13.22019,13.74003,-0.02477,1.48928,1.24068,-0.51252,-0.70060,-0.13543
12.86363,14.35778,-2.67609,1.47832,0.78762,0.02443,-0.60019,-0.05049
13.13389,13.78804,-0.12459,1.04720,0.82612,0.50221,-0.03076,0.96437
12.92578,13.20464,-1.55593,1.37509,0.09203,-0.08101,0.58632,0.81021
12.41668,14.19857,-2.98450,1.07700,1.41152,0.01614,-0.02514,-0.31417
12.56022,13.71605,-1.53543,0.75614,0.66911,0.30699,0.10164,0.76647
12.40275,13.21481,-1.86726,0.80202,0.74249,-0.09250,-0.00299,0.29277
12.74296,14.30427,-2.54949,1.02361,0.70432,-0.22560,-0.94417,-0.89103
12.54563,13.71506,-1.67188,0.96882,0.62577,-0.96376,-0.04180,-0.07169
12.89914,13.69517,-2.37564,1.01381,1.15138,-0.13814,-0.32599,-0.48984
12.74044,14.15859,-0.00802,1.33276,0.79409,0.75556,0.04164,0.04936
13.19965,14.38078,-1.10494,1.12867,0.04681,0.10035,0.55819,0.20203
12.84670,13.39551,-1.31073,1.24935,0.06929,-0.49335,-0.20123,0.43528
12.85773,13.29382,-2.25582,1.44674,1.03880,0.26289,-0.72378,0.50500
12.87957,13.70222,-2.89366,0.96805,0.94228,-0.75773,0.65171,0.57354
12.72050,13.96841,-0.97306,1.01959,0.29324,0.01405,0.90125,0.49447
13.03523,13.57828,-2.97125,0.99551,1.41410,-0.15550,0.80976,0.24571
