# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.63470,13.50911,-2.57827,0.85719,1.33003,0.06849,-0.67302,-0.64086
13.29874,13.90843,-2.93745,0.78721,0.67970,-0.40194,-0.23860,-0.11507
12.75518,13.78189,-0.18408,0.98879,0.73216,-0.77452,0.03924,-0.20287
13.23985,13.60782,-0.19715,1.49626,0.48123,-0.16357,0.50364,-0.78816
12.52750,14.22602,-0.50270,1.01652,0.19079,0.19134,-0.25849,0.31258
12.59332,13.51297,-0.46050,1.38719,0.30289,-0.11433,-0.99392,0.34239
13.09729,14.36793,-1.35577,0.87292,0.83698,-0.74147,0.95744,-0.09207
13.09916,13.33522,-1.94564,1.44809,0.75529,-0.71142,-0.88467,0.19816
12.60381,13.24715,-1.00155,1.35462,0.22776,0.00273,-0.64560,-0.61317
12.75373,13.66667,-1.41597,1.49886,1.40407,0.41250,0.88183,0.64204
13.28704,14.31049,-2.61841,1.16808,0.91995,-0.05021,-0.01070,-0.51176
12.99901,13.73948,-1.71224,1.06284,1.02976,0.55675,-0.12326,-0.04571
13.01556,13.63504,-1.11553,0.88394,1.08990,-0.21716,-0.51183,0.48666
13.03512,14.21338,-1.67984,1.43982,1.05452,-0.20824,0.83125,0.67488
12.84421,13.80309,-1.63161,1.32372,0.76199,-0.05680,0.91053,-0.60547
12.94675,13.50979,-0.50110,1.05482,0.02543,0.84484,0.68545,0.17988
12.47941,13.20604,-0.19059,0.88002,0.63758,-0.50289,-0.96295,-0.66920
12.87522,14.26151,-0.40570,0.82499,0.81844,0.03367,-0.45907,-0.74350
13.08511,13.89433,-0.52619,1.19710,1.48718,-0.33874,-0.34973,0.63740
13.03024,13.67874,-2.26783,0.93057,1.03374,-0.74790,-0.85812,0.69752
13.16867,13.89352,-1.64477,1.23659,1.38087,0.63794,0.36960,0.52788
13.07466,13.34182,-1.37374,0.79507,0.01679,0.82777,-0.10208,0.45190
12.50120,14.11853,-1.00980,1.47714,1.46796,-0.67795,-0.07697,0.66639
13.20623,13.78220,-2.16388,0.78541,0.91573,0.78628,0.46300,0.01720
12.50079,13.73110,-1.68762,0.93883,1.45409,0.54495,-0.91526,0.11461
12.74378,14.00255,-2.64956,1.16637,1.39069,0.78644,0.69645,0.50032
13.25970,13.70695,-0.33179,0.93631,0.93417,-0.95313,-0.84164,-0.66932
12.99880,13.64884,-2.06535,0.97395,0.36109,-0.06505,-0.79936,0.30839
13.13162,13.65418,-0.21092,1.28675,1.23947,-0.33362,-0.09409,-0.98877
13.00398,13.84989,-0.82343,0.78313,1.38603,0.98367,-0.57759,-0.88031
12.64712,13.95143,-1.34917,1.35300,0.42058,-0.54738,0.89498,-0.72391
13.15974,14.37643,-1.27705,0.96245,0.33056,-0.97634,-0.12621,-0.76078
12.54555,13.57396,-2.52978,1.14777,0.70070,0.53840,0.78740,0.73452
12.57053,13.92205,-1.39134,0.75240,1.35690,-0.60666,0.28974,-0.45806
12.45357,14.14257,-0.22395,0.84583,0.36886,0.58916,-0.10843,0.16133
12.57857,13.84216,-0.46136,1.49081,1.03029,-0.35104,0.17133,0.13575
12.52509,14.10654,-2.81265,1.38483,1.19839,-0.76357,-0.42741,-0.44894
12.93829,13.21052,-1.05702,0.96757,1.10043,0.17290,-0.13146,-0.55176
12.59849,13.96503,-1.26464,1.04015,0.65043,0.31359,-0.84456,0.04371
12.70350,13.94028,-1.79583,0.97244,0.84554,0.15718,0.57252,0.31996
12.47479,13.21058,-0.24358,1.12621,0.18803,-0.15509,0.88550,0.14851
12.79541,14.31285,-2.34339,0.71586,0.73157,0.01127,0.05220,0.29749
13.06746,14.21723,-1.17371,1.38598,0.15613,0.25430,-0.41657,-0.23680
13.05925,13.33086,-1.58242,1.12381,1.46831,0.33342,0.19858,-0.73192
13.05311,13.69812,-2.76055,0.74070,0.88682,-0.87698,-0.42446,0.64335
12.91400,13.74313,-1.77411,0.92824,1.37941,-0.17590,0.86160,0.62350
13.07423,13.21521,-2.88783,0.95588,0.23744,-0.05558,0.11685,-0.21906
13.15286,13.35537,-1.78837,1.14076,1.33784,-0.09280,-0.88366,-0.68151
12.87756,14.29266,-0.28972,1.42437,0.38774,-0.02743,-0.31318,-0.15581
12.69103,13.61257,-2.14506,1.38798,0.35845,-0.24342,0.55862,-0.34832
12.47941,13.33394,-1.83039,0.92396,0.59511,-0.13575,0.45662,-0.35907
12.87311,14.24961,-2.00140,1.31726,0.73933,0.09278,-0.57706,0.92051
12.61322,13.74359,-1.55025,1.16944,1.10141,0.47085,-0.26032,0.67876
12.80241,14.29410,-0.99971,0.97984,0.80596,0.40589,0.28679,-0.18153
12.93537,13.97719,-1.46708,1.38102,0.59122,-0.88251,-0.87197,0.02595
13.02167,13.36326,-1.45232,1.35693,1.18224,-0.29487,-0.12886,0.21190
12.87508,14.23268,-0.99062,1.42170,0.30676,0.21634,0.39995,0.52038
12.41381,13.72532,-1.60891,0.89967,0.04564,-0.16672,0.62618,-0.66280
13.07506,14.35139,-0.69443,0.92721,0.68844,0.50225,-0.30169,-0.18543
12.63521,14.19843,-2.09050,0.91227,1.01794,0.60421,-0.76151,-0.67601
13.18092,13.68820,-2.45463,1.15260,1.48096,-0.57865,0.20134,0.54958
13.15869,13.57637,-0.56319,0.77130,0.74334,0.72578,-0.98009,-0.10570
12.89936,13.94334,-0.40428,1.37444,0.66136,0.97635,0.95575,-0.86414
12.61140,13.79841,-0.83807,1.44304,0.22988,-0.54344,-0.08924,0.79725
12.83923,14.08957,-0.93692,1.00192,1.33455,-0.82373,0.69660,0.87210
12.69750,13.39566,-1.38996,1.32470,0.31938,-0.95262,-0.54532,-0.24369
13.12446,13.68995,-0.73281,1.49150,1.42083,-0.38357,0.95570,-0.77869
12.59011,13.63315,-2.88247,1.22841,0.90514,-0.10834,-0.23813,-0.98170
12.68565,13.38216,-2.57276,1.49672,0.42132,0.87826,0.07629,0.51366
