# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.43332,13.93837,-1.29324,1.30575,0.32436,0.07897,0.91025,0.28744
12.58723,14.22345,-0.81120,1.03151,0.86114,0.73511,0.91820,-0.93024
12.73829,14.08070,-0.06019,0.99182,0.25132,0.79553,-0.69221,0.12635
12.56347,14.24945,-2.24972,0.76576,0.12483,0.07330,-0.97946,-0.17343
12.64003,13.43903,-0.60863,0.96401,0.35354,0.80052,-0.38027,-0.63737
12.57123,13.62577,-0.84692,1.32663,0.58993,-0.07852,0.43757,0.22399
13.11632,13.82945,-2.92370,1.00590,0.75102,0.21299,-0.75029,0.03199
13.06631,14.13252,-2.16940,0.99070,1.43101,0.26125,0.40718,-0.48601
13.27313,14.26633,-0.54436,1.26502,1.33947,-0.43669,0.07093,0.44984
13.07753,13.30174,-1.24869,1.10125,0.26560,-0.87575,0.71851,0.84154
12.56174,13.29145,-0.08180,0.70381,1.11768,0.58334,0.07998,0.22252
12.81834,14.25726,-0.25770,1.43004,0.03556,0.62624,0.32347,0.58871
12.80698,13.42021,-1.32144,0.77600,0.40532,-0.89398,-0.92854,-0.35621
12.87375,13.22968,-0.16894,0.80089,1.39583,-0.20791,-0.11509,0.77754
13.10222,13.73523,-1.01871,0.76947,0.41283,0.87290,-0.01557,0.92247
12.76825,13.31117,-2.48238,1.38765,0.08296,0.60902,-0.01977,-0.46937
13.03244,13.73563,-1.58335,1.13804,1.38966,-0.62965,-0.25735,-0.55584
13.22386,14.38219,-1.04879,0.98531,1.00753,0.17237,0.86907,0.99134
12.93522,13.33039,-0.97177,1.23323,0.95836,0.55854,-0.40527,0.13451
12.70994,13.84637,-2.05576,1.45126,0.88223,0.88265,-0.16416,0.63215
12.97725,13.61495,-2.32067,1.05789,0.24390,-0.73542,-0.63791,0.44650
12.45842,14.21099,-1.16091,0.88316,0.73830,0.29379,0.90996,-0.37194
12.64927,13.84177,-2.28874,1.27706,1.02510,-0.05088,-0.30016,0.48504
12.89882,13.54716,-1.34121,1.23201,0.63783,-0.47222,0.96636,0.93131
12.85617,13.42736,-1.07971,1.09574,0.17040,-0.34259,-0.39455,0.29672
12.93874,13.71102,-0.45446,0.92770,0.54885,0.51255,-0.25164,-0.31033
12.42499,13.49139,-0.50283,1.24700,0.94858,-0.95265,-0.04461,-0.99115
12.57734,13.95127,-0.15122,1.31529,0.17285,0.07398,0.91446,0.35766
12.89237,14.13732,-1.66895,1.27033,0.02617,0.70563,-0.77257,-0.44504
12.80122,13.95422,-2.68684,0.91807,1.43393,-0.94888,0.01803,-0.14659
12.90541,13.93705,-2.51669,1.23863,0.87507,-0.07264,-0.90377,-0.71733
13.11063,14.06070,-0.35950,0.80643,1.12249,0.58853,-0.07290,0.95328
13.15486,13.31574,-2.42014,0.82355,0.60852,-0.98361,-0.23255,-0.55819
13.19606,14.03807,-1.94372,0.93847,0.25606,0.06007,0.99644,0.36923
12.53147,13.59343,-2.30445,1.08817,0.88190,0.02174,-0.07579,-0.84807
12.82163,13.64096,-2.30302,1.24437,1.30045,0.31738,0.53318,0.71758
13.06377,14.05574,-1.86001,1.23659,0.97044,-0.07602,0.54562,-0.01608
13.11047,14.04182,-1.59753,1.43635,0.16351,-0.46477,-0.75793,0.70136
13.21423,13.20798,-0.06397,1.11282,0.21278,-0.38464,0.52696,-0.29681
12.76601,14.12779,-2.76602,1.32712,1.27404,0.56667,-0.35154,0.98317
12.45321,13.50266,-2.87934,0.70255,0.12343,0.89375,0.58740,0.81977
13.12326,14.32945,-0.77375,1.00650,1.27781,-0.90904,0.79668,0.94940
13.06435,13.52034,-2.10688,0.83714,0.29762,-0.37854,0.87422,0.62028
12.53533,14.08952,-0.94406,0.80401,1.45298,0.47964,-0.50228,-0.89901
12.48378,13.76932,-0.17085,1.15370,0.89652,-0.60271,0.77880,0.11752
12.51599,14.12321,-1.18155,1.31363,0.04440,0.47023,0.90258,0.22258
12.60518,13.35685,-1.17143,1.34070,0.86954,-0.65284,0.11334,-0.06109
13.01530,13.45912,-0.38630,1.21250,0.16695,0.22147,0.03182,0.89415
13.16053,13.40858,-1.20073,1.33051,0.30299,0.96031,-0.63653,0.57855
13.19140,13.85469,-0.51535,0.96167,0.86417,0.06176,-0.58574,0.76357
13.22472,13.54134,-2.10908,1.14533,0.42778,-0.16525,0.06532,0.03018
13.01699,13.84872,-2.32080,0.80177,0.12949,0.69465,-0.93598,0.28857
12.93204,13.27467,-0.10583,1.16369,0.08731,-0.75664,0.50927,0.71607
12.65489,13.58332,-1.64921,0.75306,0.98610,-0.03311,0.78388,0.53214
12.69272,14.24726,-1.02606,1.18583,0.11972,0.91187,0.75627,-0.84877
12.56001,14.03996,-1.93626,0.89098,0.08507,0.85779,-0.16428,-0.98327
12.92572,13.50928,-0.55260,1.06434,1.01285,-0.48892,-0.12901,-0.60744
12.77548,13.30902,-1.03643,1.49843,0.75232,-0.57288,0.12175,-0.68069
12.44248,13.48903,-2.86586,1.21663,1.00273,-0.86926,-0.67555,-0.63299
12.51497,14.14688,-0.28554,1.32305,0.40692,0.80927,-0.88599,-0.95605
13.20211,13.43208,-0.29583,1.23948,0.55405,0.30855,-0.47950,-0.02082
12.50235,13.29884,-2.55544,0.99984,0.50033,0.91225,-0.83515,0.16492
12.75057,13.66691,-1.01700,0.70964,0.17202,0.46198,-0.78034,-0.17520
12.90334,14.39839,-0.15568,1.41601,0.47612,-0.76580,0.16205,0.69684
12.59438,14.06592,-2.50435,0.85808,1.29633,0.76810,-0.48327,0.11986
13.04062,14.37209,-1.81115,1.00327,0.84819,0.47444,-0.58931,-0.94718
12.69873,13.30799,-1.18304,1.35163,1.21401,0.18704,0.59165,0.57222
13.19279,14.01916,-0.47154,0.76461,1.19279,-0.22358,-0.06583,-0.15380
13.27174,13.55323,-0.76932,0.95650,1.26007,-0.23126,0.22524,-0.68660
12.43188,13.95269,-0.43334,1.16585,0.39674,-0.63297,0.57604,-0.02343
12.46768,14.04458,-0.42222,0.93890,0.59160,-0.73077,-0.37596,-0.22953
13.27500,13.85405,-1.08712,0.70038,0.35713,-0.17538,0.48599,0.49835
12.86885,14.36146,-2.52592,1.10122,1.44785,0.25822,0.15591,0.64332
13.26899,13.88209,-1.64299,0.94218,1.34719,-0.88020,0.18161,0.55815
13.16627,13.87804,-1.96069,1.23694,0.01988,0.65695,0.01771,0.61477
