# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
13.02781,13.57004,-0.05352,0.80841,0.96033,0.00278,0.30794,0.65622
13.19160,13.28983,-1.08860,1.15947,0.74207,-0.23220,-0.48230,-0.00859
13.09041,14.35381,-2.51509,1.19292,0.81675,-0.22235,-0.35444,0.57015
13.11810,13.55081,-2.27882,0.75631,0.55387,0.99324,0.93063,0.03501
12.40308,14.31610,-0.76402,0.72421,0.72874,0.18784,-0.04497,-0.19906
13.00363,14.11366,-1.05417,0.75658,0.01894,-0.97569,-0.48669,0.48880
12.69315,13.32215,-0.56877,0.89174,0.91670,-0.68089,-0.92706,0.13743
13.06437,14.34223,-2.14066,0.87480,0.42593,-0.76795,0.88551,-0.38917
12.50311,13.93735,-1.20741,1.03479,0.43785,0.09474,0.51809,-0.04301
13.28197,14.10479,-1.78294,0.85789,1.38187,0.26469,0.84244,0.37356
13.27842,13.76277,-0.91315,1.26085,0.45274,0.10983,0.75884,0.80206
12.99488,14.31224,-2.01507,1.29306,0.78230,0.82047,0.49698,-0.24219
12.47080,14.13488,-1.48818,1.11519,0.02973,-0.69919,-0.12880,-0.55556
13.11435,13.53483,-1.67364,1.03580,0.37778,-0.40533,0.65598,0.55053
12.54221,13.25918,-1.18345,1.29308,0.48933,0.02739,0.15201,0.44345
12.91940,14.04200,-0.24669,1.08299,1.17998,0.59134,-0.89690,-0.20346
12.49413,13.56376,-2.60515,0.99557,1.21008,-0.96404,0.41801,0.13795
12.54549,14.29004,-2.51045,0.89035,0.75531,0.14569,-0.99852,0.61788
12.61169,13.20012,-0.53930,0.80818,1.48439,-0.64988,0.56846,0.05432
12.53143,13.39275,-0.31004,1.08424,0.93425,0.76913,0.95588,0.70525
12.63053,13.37748,-0.06688,0.77809,0.09629,0.80279,0.26309,0.12931
12.40439,13.51010,-1.29449,1.44036,0.51322,0.79134,-0.29035,-0.98684
12.43069,14.16747,-2.52142,0.97288,0.81525,0.80649,-0.75990,0.29086
12.56844,14.22153,-2.43498,1.13455,1.25875,0.21933,-0.91434,-0.00082
12.72448,13.79661,-0.16590,1.04876,0.32095,-0.61563,-0.65647,-0.80430
13.02406,13.77100,-1.00337,1.49189,0.29653,0.46885,0.97793,-0.25710
12.79991,14.17912,-1.67605,1.24030,1.39529,0.72055,-0.65891,0.34153
12.84339,13.39820,-0.52291,0.82830,0.16382,0.33008,0.27482,-0.46026
12.64457,14.03028,-1.97285,0.71223,1.40316,-0.49135,0.78703,0.58241
12.48233,13.96657,-1.63953,1.22819,1.19184,0.10778,0.32961,-0.24013
12.72384,14.31799,-2.91902,1.26197,0.31786,-0.76320,0.60968,0.78335
12.68250,14.06486,-2.29288,0.79694,0.25612,0.46371,0.80724,0.30116
12.78242,13.69515,-1.25247,0.96149,0.42573,-0.28680,0.18548,-0.57653
13.09557,13.48649,-0.57905,1.17501,1.47946,-0.77945,-0.07942,0.41573
12.88086,13.80902,-0.65931,1.10852,0.58681,-0.55577,0.23058,-0.17712
12.90387,14.34398,-2.06123,1.28832,0.80704,0.10448,0.86322,-0.25150
12.87652,13.33043,-0.86098,1.02025,0.20109,0.00959,-0.10221,-0.11779
12.86322,13.28104,-0.11276,1.27014,0.95607,-0.09824,0.78771,-0.66884
12.45426,13.33221,-1.68026,1.04184,1.44975,0.58475,-0.58942,0.43684
12.46995,14.20165,-0.10717,0.91405,0.29273,0.11016,-0.60888,-0.34463
13.24856,14.08432,-0.14472,1.38877,0.61816,0.95859,-0.63134,0.70592
12.70562,13.72028,-2.73334,1.08939,1.44089,0.72048,0.48358,-0.87977
12.81113,14.04467,-2.05506,1.23641,0.07912,-0.89158,-0.32579,-0.88773
12.93149,13.28463,-1.57393,1.27974,0.33133,0.96484,0.36580,0.60690
13.05362,13.65441,-2.28455,1.39454,0.24944,0.46280,-0.69323,0.04639
12.99803,13.73874,-1.92824,0.99168,0.37786,-0.00444,0.30341,0.67301
13.23174,13.56477,-2.62579,1.35080,1.21519,-0.29470,-0.03945,0.05681
13.23237,13.87882,-1.03391,0.72417,0.29095,0.71855,-0.59865,0.51260
12.52668,14.38680,-0.37294,1.03021,0.24341,-0.48049,0.87214,-0.36575
12.81041,13.22147,-1.81605,1.34148,0.36139,0.63643,-0.07623,-0.61112
12.74279,14.33750,-0.14720,1.46458,0.78348,0.81838,-0.32256,-0.62353
12.58848,14.35548,-2.28424,1.25966,0.19912,-0.49051,-0.05226,0.89660
13.27282,13.39953,-0.05102,1.08518,0.17543,-0.14121,-0.92293,0.09278
