# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.43193,13.97322,-2.88038,1.30725,1.43037,-0.50881,0.41197,-0.91675
13.00960,14.35168,-0.84758,1.20280,0.26708,0.04363,0.07824,0.04201
13.25885,13.41124,-0.66884,1.42373,0.69661,0.13571,0.73952,-0.89587
12.57257,14.07293,-1.20130,1.19531,1.43312,-0.81568,-0.60290,0.65761
12.63493,13.84438,-1.73140,0.91389,0.88817,0.76864,0.46023,0.67874
13.14382,13.68912,-2.71137,0.91557,1.36191,-0.89655,-0.83485,-0.78176
13.14729,13.82814,-1.68639,0.86490,0.60181,0.81446,0.10910,-0.57474
13.20977,13.60076,-0.69757,1.20795,1.49304,0.56383,-0.43836,0.02898
12.81967,13.35094,-1.05455,0.96853,0.06496,-0.69445,0.01627,0.46351
12.48071,13.30732,-0.51027,1.34556,0.14986,0.45463,0.43460,0.29299
13.09941,14.07467,-1.53330,0.96623,1.24686,-0.92672,0.35835,-0.92652
12.47559,13.25907,-2.50053,0.80751,1.47986,0.19221,-0.84902,0.35945
13.29252,14.22625,-0.78661,1.26642,0.57470,-0.23448,-0.64628,-0.02157
12.73957,13.71197,-2.77722,0.71963,0.99248,-0.57570,-0.38483,-0.77690
12.49340,13.76713,-1.15165,1.38943,0.09103,0.91019,0.89106,0.61275
13.17833,13.63543,-2.13797,0.70297,0.91776,-0.42508,0.62001,0.66929
12.73596,13.87585,-1.11290,1.31144,0.03058,0.27422,-0.02380,0.03867
12.74809,13.40816,-1.85815,1.34689,1.29519,0.54690,-0.79649,0.72765
12.62525,13.71963,-0.09654,1.23448,0.44941,-0.02331,-0.44831,0.25952
12.50445,13.35444,-2.19351,1.06592,1.06014,0.38330,0.76706,-0.92487
12.67598,13.81724,-0.13102,1.12457,1.18105,0.00524,-0.86040,-0.74588
13.04229,13.28805,-0.41210,1.14513,0.06112,0.42681,0.77356,0.90214
13.13078,13.51553,-0.21441,1.02815,0.70362,-0.53968,-0.62175,0.25747
13.23819,13.94328,-1.47662,1.41992,1.41005,-0.49554,0.76585,0.03154
13.10049,14.18121,-0.94587,1.25894,0.53142,0.37124,0.31615,0.70209
12.94412,13.33403,-2.25518,0.89686,0.72491,-0.75203,-0.64246,-0.79361
12.78827,14.11941,-2.71417,1.41106,0.21095,0.43915,0.05297,-0.19906
12.72582,14.31889,-0.71302,1.09940,0.06284,-0.37371,-0.20605,0.20045
12.78337,14.20508,-2.16312,0.97591,1.07998,-0.18348,-0.61487,0.04559
12.94930,14.22029,-1.13477,1.32112,1.17769,-0.09023,0.05806,-0.66818
13.12803,13.85665,-2.72544,1.32769,0.56057,-0.09115,0.61304,0.91749
12.92352,14.22284,-0.80711,1.05072,1.02312,-0.33202,0.45469,0.53218
12.85900,14.35701,-1.48795,1.11271,0.57389,-0.20633,-0.76989,0.44555
12.64535,13.79996,-1.57937,1.40785,0.52687,0.41160,0.60291,0.74557
12.82265,13.58931,-0.94589,1.42845,0.70539,0.41875,-0.80286,0.48880
12.88377,13.97115,-1.46462,0.89454,1.42325,-0.61430,0.75531,-0.84868
12.45872,14.38458,-2.64247,1.15181,0.09334,-0.05093,-0.01191,0.67030
13.13502,14.32973,-1.13206,1.12949,0.28134,0.07714,0.41431,0.57057
12.72477,13.76100,-1.92404,0.99548,0.76210,-0.30401,0.51172,-0.70670
12.78751,13.94100,-2.31697,1.36622,0.17604,0.16532,0.94076,0.82547
12.66100,13.54914,-2.91589,1.49325,0.18003,0.64821,-0.15510,-0.02083
12.40776,13.41942,-1.09680,1.20139,1.38950,0.13534,0.35270,0.91645
13.22105,13.90131,-2.23364,1.16534,0.17943,0.52531,-0.42676,0.70377
12.45191,13.49788,-0.53222,0.74389,1.45727,-0.94778,0.16835,-0.65758
12.65033,14.09371,-0.10314,1.11432,0.05282,0.89717,0.98639,-0.67546
13.14843,14.09349,-2.60001,1.34709,1.13117,-0.25569,-0.25750,-0.65679
12.84363,13.27992,-2.44647,1.32357,0.97955,-0.79069,-0.88226,0.06906
12.43523,14.29167,-1.68495,1.25321,0.25311,-0.10899,-0.58748,0.02269
13.19609,13.43189,-0.25437,1.12127,0.32578,-0.52242,0.00427,0.13503
12.98546,14.20710,-1.73429,1.13298,0.92230,-0.01360,0.57564,-0.76810
13.04924,13.28625,-0.52169,1.19533,0.94609,-0.08250,0.02318,0.55590
12.72606,13.84939,-2.10935,0.78450,1.17451,0.40812,-0.84496,-0.68323
12.73430,13.67369,-1.85902,0.73746,0.20754,0.00577,-0.62081,0.97878
13.19756,14.17450,-2.20755,0.80764,1.02726,-0.02829,-0.31115,-0.66488
12.46286,13.33610,-0.29477,1.10902,0.77289,-0.53020,-0.51299,0.88155
12.73898,13.55936,-1.61063,1.43691,1.45619,-0.34119,-0.92863,0.83518
12.93960,13.36063,-2.43433,0.71891,0.77447,-0.02208,-0.03328,0.96932
13.16016,13.92520,-2.35404,1.06105,1.19632,0.92532,-0.52094,-0.95711
12.42363,13.85674,-2.42053,1.47021,0.58556,-0.30756,0.41129,-0.38008
13.24779,13.99791,-2.59936,1.09280,0.55930,0.08722,0.37718,-0.76752
13.08538,13.46569,-2.67318,0.95948,1.13980,-0.79189,0.77342,-0.47731
13.00659,14.04061,-2.16050,0.80059,1.02779,-0.17527,0.59239,-0.98796
12.88676,13.27245,-0.49695,1.03249,0.69533,0.76155,0.49783,-0.82299
13.21178,14.14268,-1.85350,1.39756,1.44842,0.27540,-0.99265,0.79558
13.25634,13.41012,-0.03034,1.34816,0.31753,-0.69958,0.49604,-0.51071
12.55079,14.03303,-2.31755,1.24677,1.42418,-0.95433,-0.98468,0.27446
12.86878,14.33939,-0.03084,0.97297,1.27252,0.36899,-0.77874,-0.23578
12.75574,13.44704,-1.64020,0.97928,0.65914,0.77432,0.06381,-0.59025
12.92133,13.49453,-1.36099,1.40727,0.23736,0.69930,-0.97282,0.38911
13.14596,14.02220,-0.66743,0.78121,0.87086,0.99594,-0.12360,-0.46964
13.06124,13.96391,-1.74411,0.89505,0.41960,0.41988,-0.98083,-0.66056
12.68745,14.25980,-2.62582,1.14389,0.99213,0.53196,0.09281,0.51240
13.22176,14.11036,-0.21184,1.01108,0.87214,0.29767,0.53920,-0.69976
12.64915,13.45039,-2.46786,0.74084,1.48177,-0.58864,-0.30104,-0.56309
13.00115,13.94063,-2.41507,1.14641,1.00550,-0.15366,0.42778,-0.65563
13.06388,14.18005,-0.51412,1.10511,0.41818,0.13100,-0.20073,0.06413
13.27794,13.88484,-0.68671,1.48205,0.98679,0.80154,0.43743,-0.61710
13.13943,13.78081,-0.83191,1.38085,0.48582,0.51886,0.81052,-0.30977
12.73735,13.93425,-2.52691,0.88449,0.44771,-0.53235,0.10753,-0.00053
12.64312,14.28152,-1.14859,1.33008,0.39344,-0.46355,0.79274,-0.56026
13.21430,13.95192,-2.79381,0.71661,1.18714,-0.60324,-0.51375,0.21749
13.10592,13.51722,-0.03553,0.78543,0.26586,0.61522,0.66621,0.82829
12.85473,13.51547,-0.79759,1.37201,1.28363,0.63408,0.59818,0.89057
12.41548,13.97582,-1.26932,1.07090,0.12320,-0.66353,-0.98956,-0.32741
12.52422,13.61993,-0.78384,0.96835,1.28857,0.75739,0.41719,0.42813
12.76879,13.69388,-1.89863,1.27156,0.73196,-0.42369,-0.16193,-0.50557
12.94073,13.22449,-2.49842,1.41962,0.19214,0.31786,0.59002,-0.03432
13.16745,13.44422,-2.93575,1.32709,1.05367,0.62494,-0.18452,0.71711
12.77315,13.92240,-2.85184,0.84258,0.72915,0.40004,-0.42301,0.96041
13.01029,14.33633,-0.18874,0.81494,0.05670,-0.75900,-0.78582,-0.04990
12.66040,14.38731,-1.91020,1.49337,0.83275,0.77764,0.08995,-0.77624
13.06858,13.59695,-2.56402,1.05170,0.90285,-0.45265,-0.25507,0.41079
13.13692,13.80551,-2.78245,0.78672,1.46858,0.02280,0.94998,-0.29449
13.29005,13.78640,-1.75068,1.34656,0.81366,0.44830,0.61000,-0.35579
13.24187,13.38593,-2.72573,1.18111,0.30628,0.39722,-0.21268,0.51669
12.42167,14.24074,-1.32795,1.36874,1.44147,-0.75739,-0.36589,0.52260
12.89294,14.22845,-0.25794,1.14757,0.31105,0.26954,0.77496,0.23560
13.27935,13.32862,-2.87756,1.21048,0.60482,0.77391,-0.22540,0.31037
13.21167,13.29470,-2.60871,1.03660,0.87461,0.33891,0.11893,0.78870
12.76653,13.84722,-0.03753,1.29251,0.10076,0.47720,0.97714,-0.77146
13.10307,13.45490,-0.36095,1.05673,1.02481,-0.79079,-0.82930,-0.16302
13.13308,14.15346,-0.05109,1.05020,1.35539,-0.71544,-0.06628,-0.50355
12.44096,13.44968,-2.24964,1.16250,0.02224,0.16028,-0.09169,0.99481
12.50884,13.22963,-1.02045,0.85613,1.13079,0.95502,0.93575,-0.27577
12.69165,14.20538,-1.34795,1.15543,0.50357,0.12509,0.03922,0.47040
13.12520,13.96292,-1.01556,0.99477,0.86221,0.77407,-0.18639,0.01930
12.82789,14.18094,-2.29049,1.24486,0.40684,0.34453,0.10831,0.25310
13.28655,14.25508,-0.06533,1.13995,1.41595,0.75797,-0.28815,-0.32622
12.51807,14.09596,-2.93705,1.04946,1.05079,0.88616,-0.44802,-0.59751
12.77740,14.34848,-2.76944,1.04532,0.95180,0.73303,0.86325,-0.32483
13.28110,13.49442,-2.66816,1.07928,0.16714,0.61168,-0.28003,-0.01027
12.65403,13.55202,-2.65817,1.08094,0.03923,-0.78767,-0.22194,0.08267
13.21126,14.28807,-1.37230,0.86964,0.84461,-0.33842,-0.73515,-0.69230
12.62250,14.08157,-1.69207,1.25657,1.15453,-0.85018,-0.73631,-0.88920
13.00689,14.00401,-0.54766,1.01562,0.57867,0.38455,0.05809,-0.57189
12.45449,13.83915,-0.40542,1.10375,1.32279,-0.20083,0.29289,-0.82483
13.01401,14.02116,-0.79757,0.93411,0.77980,-0.04945,-0.54573,0.83484
13.23789,14.33331,-1.90645,1.42923,1.48819,0.89675,0.38278,-0.05077
12.88724,13.33718,-2.74396,0.96751,1.34072,0.03908,-0.03882,0.20222
12.74520,13.48184,-0.82139,0.72891,1.16714,0.29522,-0.96085,-0.99031
13.23850,14.09015,-0.58906,0.90440,0.36910,-0.02651,-0.44982,0.34207
12.65526,13.57500,-2.56329,1.05552,1.37828,-0.02460,-0.45659,-0.13559
12.67858,13.97007,-1.59909,0.81911,0.12507,-0.01068,-0.05924,-0.43162
12.62272,14.04227,-2.68242,1.19622,0.42192,-0.14658,-0.89029,-0.58480
12.63072,13.89930,-2.26357,1.02158,0.49513,-0.26736,0.74165,0.57326
13.14166,14.07289,-1.61973,0.79367,0.86837,-0.32526,-0.15416,0.86713
12.86305,14.15479,-0.94341,0.82421,1.34390,0.72657,0.09193,-0.52940
12.64742,13.60026,-1.57737,1.14583,1.08915,-0.58054,0.25324,0.26526
13.18597,13.38627,-2.10500,1.26797,0.61257,0.36907,0.20969,-0.82722
12.67608,13.50616,-1.80574,1.49962,0.31374,-0.56752,0.90088,-0.16798
13.03933,13.52910,-1.66814,1.21613,1.40458,-0.76250,0.63933,0.91845
13.12858,13.42146,-2.97209,1.14572,0.87234,-0.15486,-0.28425,-0.13584
13.02258,13.33267,-2.39030,1.42520,1.02519,0.76764,0.05790,-0.85167
12.89146,13.40187,-2.07417,1.16037,1.42187,-0.14598,-0.19211,0.26771
12.80324,13.96632,-1.75053,1.38883,0.24201,0.81676,0.91508,0.80613
12.52227,13.64186,-1.97325,1.26861,0.52234,-0.84747,0.00174,-0.01528
12.72588,13.58682,-1.10088,1.31166,0.30078,0.83204,0.05593,0.85470
12.57006,14.35241,-0.92757,0.79343,0.56953,-0.35664,-0.93308,0.69985
12.70137,14.37256,-1.89907,0.86729,0.64771,0.29353,-0.34901,0.39414
12.57503,14.01655,-2.53554,1.05798,0.97596,-0.76895,-0.47340,-0.08604
12.97626,13.74356,-2.91779,0.85007,1.48061,-0.16940,0.26424,-0.22021
13.24502,13.56309,-1.83982,1.04810,0.05679,-0.94081,0.46245,0.13245
12.76159,13.66341,-2.70158,1.19576,0.40479,0.50276,0.05034,-0.29541
12.86436,13.79194,-2.11085,1.11092,0.05429,-0.34331,-0.16460,-0.67430
12.96383,14.03639,-2.29478,1.28158,1.47796,-0.48459,-0.32608,0.57925
13.16639,14.19704,-0.25782,1.10855,0.10964,-0.83939,0.84233,0.35211
13.20052,14.06823,-0.03474,0.95644,1.18438,-0.76202,-0.66913,-0.90162
13.19826,13.46574,-1.42100,1.20943,1.00815,-0.99929,-0.74421,-0.38247
12.48346,13.87781,-1.15986,0.77793,0.14334,-0.74942,0.91530,-0.25030
12.47402,13.74974,-2.76124,1.16120,1.31994,0.19973,0.91662,-0.17932
13.06232,13.49337,-2.67627,1.42939,1.35057,0.43527,0.74217,-0.54505
13.20798,13.72062,-0.05841,1.44161,0.88076,-0.32123,-0.39060,-0.26998
12.76582,13.63256,-0.22571,0.80385,1.23684,-0.34373,-0.96797,-0.72798
13.19158,13.26149,-1.56798,1.28424,0.52956,-0.67670,-0.62868,-0.44223
12.91126,13.47072,-0.04883,1.21504,0.82929,0.48222,-0.29410,0.60667
12.55059,13.91757,-1.48379,1.49560,1.08055,-0.14347,-0.68984,-0.82900
12.96204,13.41343,-0.54365,0.95285,0.34337,0.08378,-0.30283,0.34158
12.59631,13.82442,-1.21784,0.83717,1.14068,-0.33964,0.83812,-0.47312
12.93215,13.71400,-0.62750,0.97892,0.32556,0.97381,0.01445,0.17316
13.09923,13.87967,-0.43266,1.35964,1.28270,0.93160,-0.19180,-0.39923
13.16020,14.30551,-0.32801,0.89267,1.16491,-0.21431,-0.49943,0.18441
13.23341,13.59899,-1.22306,0.93601,1.27388,0.37395,0.04354,-0.10584
12.98619,14.00617,-1.22071,0.78281,0.79211,0.11101,0.09033,-0.47451
12.97145,13.64300,-1.44771,0.99789,0.52383,0.10267,-0.52701,0.83523
13.13836,14.01739,-2.99302,1.24290,0.81761,-0.89099,0.63125,-0.61712
12.58095,13.33941,-2.91063,1.33993,0.67025,0.33037,-0.62470,0.78140
12.66742,13.33143,-1.03524,1.10127,0.92318,0.93684,0.71477,-0.69421
12.75493,13.82643,-0.76082,1.30736,0.29810,-0.12925,-0.04342,-0.67853
12.75726,13.58526,-0.20972,0.95807,0.01675,-0.96400,0.00545,0.81001
13.20698,14.12923,-0.35054,0.90453,1.08127,-0.53552,-0.03855,-0.62799
12.83856,13.34521,-2.89601,1.29338,0.19831,0.34915,-0.56190,-0.56056
13.05014,13.26020,-1.31010,1.28764,0.59837,-0.03423,0.31148,0.89559
12.73176,13.54344,-0.28335,0.94516,1.31197,0.14248,0.58779,-0.66596
12.55105,14.08117,-1.17089,0.80446,1.48910,-0.12035,-0.84991,-0.84526
13.02002,14.16234,-0.55889,0.76741,0.35048,0.74951,0.94188,0.80554
13.00046,13.35449,-2.59469,0.71367,0.62478,-0.59143,-0.72160,0.54648
12.93134,13.93327,-2.22963,1.04088,0.90002,0.05826,-0.76452,0.98421
12.57225,14.22152,-2.05204,1.20324,0.11991,0.12695,-0.18604,-0.95230
12.83447,14.28504,-0.95749,0.85181,0.86606,-0.19510,0.97513,0.80663
12.87235,14.07506,-1.93323,1.00230,0.64536,-0.68104,0.37881,0.41452
12.64364,13.59300,-2.20413,1.22113,1.34408,-0.70878,-0.33056,0.45214
12.42594,13.29164,-2.81758,1.06466,1.40439,0.47346,-0.92975,-0.77068
12.80799,14.38301,-1.40653,0.96428,0.34488,-0.69030,-0.05393,0.75298
13.13019,13.29845,-0.73134,0.90681,0.16167,0.79279,0.38298,0.94872
13.03229,13.39184,-0.65793,0.89760,1.20599,-0.64037,0.19558,0.08273
12.61635,13.89652,-2.54293,1.31329,1.16572,0.12015,0.02608,-0.70301
13.06667,13.94870,-1.42514,1.27993,1.41603,0.66910,0.70514,0.77131
13.27250,14.01342,-0.14613,0.89222,0.98680,-0.56697,0.90789,0.03378
12.56963,14.33361,-0.82742,1.09541,0.31226,-0.14357,-0.08477,0.81252
12.80842,13.76001,-2.19731,1.35725,0.31170,0.63252,-0.74233,0.59713
12.50972,13.69775,-2.58943,1.10600,1.43654,-0.58839,0.25460,-0.72204
12.67723,14.24834,-1.67116,0.75868,0.50936,0.19552,-0.09577,-0.77192
12.93050,13.30766,-0.28102,1.24252,0.11288,-0.54416,-0.02095,0.79404
13.23881,14.39549,-2.05355,1.17938,0.52911,-0.52578,-0.53981,-0.41847
12.88865,13.23081,-0.81374,1.14965,0.11587,-0.25827,-0.62368,0.66421
12.56705,13.47884,-2.34615,1.41807,0.14360,0.31661,0.05561,0.40559
12.82431,13.42608,-2.30109,1.11768,0.57260,-0.90060,0.74750,-0.96507
12.84929,13.97470,-2.50623,0.75864,0.13835,0.83545,-0.96679,0.51488
12.44854,14.38633,-1.51381,0.71856,0.23067,0.11765,-0.59896,0.56518
13.11515,13.42583,-2.65018,1.00177,0.07239,0.84730,-0.40602,-0.47756
12.42330,13.24279,-2.60266,1.36560,1.46072,0.68326,0.37368,-0.16455
13.15295,13.89904,-2.94845,1.30850,0.57921,-0.26405,-0.32666,0.50588
12.92142,13.94112,-0.46124,0.94058,0.72415,-0.81706,-0.15514,-0.95620
12.74728,13.72073,-2.27313,0.86480,1.32808,-0.22877,0.84228,-0.81936
12.96749,14.28141,-2.65040,1.20196,0.54102,0.02984,0.16181,0.48295
13.08174,13.35741,-1.08385,0.88482,0.31270,-0.10450,-0.99530,-0.14725
13.21400,14.02060,-2.45478,1.17886,1.10075,0.74188,0.26883,0.82626
12.78433,14.01195,-0.65876,1.15040,0.93150,-0.25795,-0.34207,0.84206
12.64663,14.03539,-1.07850,1.31963,0.05212,0.41104,-0.20489,0.76257
12.86544,14.38501,-2.68002,1.16921,1.43391,-0.12242,0.39380,-0.36560
12.63535,13.86745,-2.57996,1.12785,0.19491,-0.24941,0.52081,-0.24597
12.89647,13.83500,-0.65268,0.80518,0.48045,-0.15183,-0.39767,0.40673
12.75052,13.93627,-2.20796,1.22696,1.31605,-0.13708,-0.61371,-0.02934
12.59308,13.26999,-0.91654,0.98571,1.22760,-0.24847,-0.29565,-0.68376
13.19174,13.30967,-0.93807,1.39286,0.26580,0.02416,-0.96851,0.97736
13.23681,13.33676,-2.56825,1.00178,1.37725,0.65167,-0.10695,0.59655
13.21345,14.28782,-2.69858,1.40391,0.07405,-0.66374,-0.00252,-0.67158
13.18088,14.20572,-2.09289,1.12534,0.94907,0.11090,-0.45678,-0.65440
12.66549,14.36499,-0.60540,0.84392,1.34318,-0.04811,-0.73536,0.29337
13.04170,13.35658,-0.62108,1.09095,1.13646,-0.70390,-0.97279,-0.49009
13.15178,13.56072,-0.89564,0.82847,1.27666,0.06978,-0.34952,0.90607
12.79061,13.70219,-0.29044,1.13774,0.25718,0.77290,-0.65054,0.34232
12.50654,13.49399,-0.68033,0.97292,0.29292,-0.15609,0.13446,0.31601
12.62981,13.43516,-2.74235,1.43283,0.72339,0.28589,-0.88902,0.16237
12.45690,14.20603,-0.39890,1.45723,0.44995,0.93740,0.40443,0.09143
12.93601,13.60430,-1.04915,1.28878,1.18882,0.68864,-0.83895,0.12301
12.68362,13.33047,-1.80026,0.93524,0.95354,0.38365,0.86824,0.20406
12.49966,13.21307,-1.68728,1.08544,1.01638,0.82037,-0.83439,-0.44278
12.43671,13.60687,-0.45787,1.02475,1.26888,-0.18395,0.11256,0.70175
12.58321,13.61379,-0.82067,0.89985,0.70194,-0.74135,-0.55659,-0.32672
12.87604,13.39502,-1.21849,1.28557,0.03116,-0.37432,0.36378,0.25701
12.84652,13.62963,-2.16863,1.30360,0.01887,-0.71851,0.01239,0.59558
12.79361,14.01362,-2.26262,1.25665,1.46193,0.82621,-0.78591,0.93190
12.88455,14.34835,-2.87547,0.95491,0.70984,0.68703,0.44241,0.45461
12.72290,14.21091,-2.51196,0.73122,1.31999,-0.60978,0.48745,-0.39013
12.70119,13.54000,-1.59489,0.93962,0.55237,-0.46045,0.96400,0.95581
12.55172,13.80624,-1.54341,1.34051,0.78962,-0.49505,-0.03296,0.74751
13.11453,13.67494,-2.89098,0.73380,0.73287,-0.01390,-0.04614,-0.00414
13.13720,13.28803,-0.96432,1.00520,1.41427,0.10656,0.10259,0.82172
12.65246,14.32171,-2.15263,0.75824,0.21318,-0.66588,-0.74826,0.97240
12.99163,14.13876,-0.31733,1.33204,1.08520,0.00228,-0.38022,0.08633
12.87447,14.14058,-1.02335,0.88422,0.01489,0.24927,-0.66357,0.83571
12.91560,13.74885,-0.58520,1.35978,0.42918,0.23505,0.90753,0.25389
12.62815,13.74629,-1.21418,1.10130,1.29870,0.45853,0.08313,-0.91141
12.95966,13.99229,-1.94645,0.86496,0.19541,0.51597,-0.62650,0.60514
12.41454,14.26016,-0.78544,1.13219,0.09494,0.40677,0.51867,0.80771
12.99913,13.29936,-1.22376,1.07127,0.66167,0.53308,-0.78899,-0.45263
12.72698,13.60858,-0.12643,1.15394,0.22224,0.19421,0.19519,-0.54542
12.51436,13.62461,-2.06774,0.96659,0.94916,0.32418,0.93554,-0.43020
12.66427,13.20382,-1.57586,1.11329,1.46153,-0.41585,-0.19969,-0.29637
12.78261,13.25306,-1.19369,1.25050,0.45468,0.64815,-0.37114,-0.10978
13.11553,13.60923,-0.45237,1.19571,1.16225,0.49965,0.86853,0.72443
13.10382,14.18273,-0.73665,0.76920,0.29018,-0.63637,0.63950,0.03685
12.65538,14.07404,-0.98174,1.11393,1.30964,0.64377,-0.45323,-0.31408
