# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.43035,13.91646,-0.14833,1.36740,0.22704,0.03499,-0.50681,0.83933
12.87815,13.47034,-2.83057,1.39734,0.77666,-0.00195,-0.13580,0.16234
12.43316,14.18556,-0.35290,1.21877,0.89030,0.24921,-0.96510,-0.33201
12.56031,13.81538,-2.24719,0.83202,1.27229,-0.74384,-0.88595,0.78259
12.51264,13.76560,-0.23808,1.31747,0.06778,-0.12146,-0.91778,0.68543
12.59177,13.97589,-1.17716,1.44457,0.04441,0.16224,0.52392,-0.57908
13.09112,13.87400,-0.19190,0.98287,0.62724,0.39352,0.04204,0.92504
12.53583,14.10791,-2.28808,0.76197,0.01735,-0.30302,-0.05822,0.54852
13.17445,14.04720,-0.61708,0.70686,1.00685,0.69533,0.44647,-0.59311
12.68462,14.06971,-1.26004,1.27614,0.35128,-0.85710,0.42014,0.53427
13.25912,13.61023,-1.29877,1.41272,0.85856,-0.21893,0.15007,-0.02620
12.55401,13.72113,-1.50097,1.11551,0.48846,-0.64370,-0.76520,-0.69864
13.24282,13.44310,-0.56706,1.19179,0.24350,0.57508,0.62162,0.58558
12.41519,13.28859,-2.24361,1.18139,0.18985,-0.48601,-0.01521,-0.68431
12.47565,13.32600,-1.20682,1.39335,0.44728,-0.94609,-0.99540,-0.15883
12.98834,14.12762,-0.98165,0.74791,1.11816,-0.73265,0.06249,0.99379
13.21047,14.00592,-1.89567,0.93821,0.77326,-0.94725,-0.84371,0.46033
12.40805,13.77601,-0.75272,1.18420,0.89918,-0.63565,0.20945,-0.61372
12.99671,13.67682,-1.42619,1.04310,0.11526,-0.85428,0.14555,0.27038
13.23840,13.49617,-1.86143,0.75187,0.71445,-0.63280,-0.76390,-0.89031
13.12871,13.24058,-0.47073,1.33590,0.84919,0.28423,0.28245,-0.39845
13.01489,14.06430,-0.57957,1.11238,1.19557,-0.40075,-0.73741,-0.43472
12.75882,13.34424,-2.69541,1.16365,1.28759,0.38849,0.39366,0.76320
13.01384,14.22119,-1.28365,1.06733,0.05418,0.52342,-0.40155,-0.25526
12.82049,13.80819,-2.69127,0.87369,0.16698,0.85961,-0.28218,0.82843
12.67760,13.36109,-1.68410,1.37268,1.32122,0.31776,-0.92461,0.40617
13.14725,14.22236,-1.83129,1.02085,1.11044,0.36376,0.81034,-0.95401
13.29275,13.96623,-0.36523,1.25760,1.36781,0.73718,0.05601,-0.63221
12.51526,14.02600,-2.21123,1.00114,1.08999,0.60287,0.82552,-0.95107
12.88245,13.25218,-1.63988,1.03861,0.43143,-0.94837,-0.27829,0.31197
12.64574,13.96694,-2.32167,1.48313,0.26015,0.78698,0.77661,-0.73572
