# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.92310,13.53472,-0.12246,1.12994,1.41634,-0.22926,-0.81728,-0.46887
12.69749,13.96184,-1.30638,1.12352,0.07673,-0.86550,0.80052,-0.73084
12.58238,13.60487,-1.12524,0.99950,0.49531,0.21250,-0.55695,-0.61044
12.71666,13.72705,-1.41111,1.34627,0.87610,0.87941,0.73980,-0.88970
12.59952,13.38004,-0.74641,1.30987,0.31635,-0.39234,-0.79204,0.32849
13.02567,13.42167,-2.04915,1.01466,0.11260,0.65271,0.07127,0.96889
12.71662,13.58850,-1.20396,0.87560,1.49975,-0.01041,0.52711,-0.10026
12.73111,13.73897,-2.35750,1.44850,0.89498,0.03281,-0.25811,-0.20131
12.56284,13.22277,-1.24289,0.73510,0.05088,0.83971,0.67889,-0.96679
12.81487,14.13764,-0.82484,1.45118,1.07458,-0.45831,-0.89515,-0.74008
12.96451,14.10634,-0.02994,1.25639,0.88882,-0.75572,0.21343,-0.91463
12.62014,13.38450,-0.51729,0.91838,1.31047,0.31502,0.27117,0.79792
12.85146,13.43953,-2.31317,1.33582,1.48520,-0.82171,0.45530,0.18313
12.58163,13.38614,-1.39153,0.81863,0.30417,-0.24004,-0.16674,0.80913
12.86128,14.30987,-0.06767,0.76828,1.40572,-0.01538,0.68396,-0.13681
12.74027,14.10587,-0.02999,0.97445,0.88513,-0.20457,-0.09591,0.68942
12.76437,14.25539,-1.88380,1.09720,0.73650,0.07567,0.16747,-0.98071
12.57721,14.39366,-0.70900,1.06836,1.29769,-0.12365,-0.50698,0.93597
12.90701,14.01811,-2.15444,1.20264,0.83237,-0.46681,0.04866,-0.01405
12.84157,13.63158,-1.03585,1.42368,1.21251,-0.90792,0.76396,0.23126
12.40952,13.34570,-0.30980,1.36060,1.33744,0.12802,0.26491,0.38628
13.14511,14.38325,-2.65597,1.24744,0.11932,0.81567,-0.34559,0.42665
12.49741,13.55600,-0.69090,1.46786,0.55599,-0.52749,0.60956,-0.99541
12.66993,13.90390,-0.78638,1.39763,0.45036,0.01868,0.91078,-0.66688
13.19340,13.58864,-0.44459,1.17592,0.80044,0.80303,0.91883,0.82398
12.59518,14.06600,-1.26955,0.87048,0.88452,-0.06910,0.94006,0.61693
13.10386,13.21652,-0.14557,0.90911,1.15580,-0.40588,-0.92555,-0.79264
12.49943,13.38230,-1.38406,0.95413,0.94557,0.27074,0.56782,-0.80231
12.81599,14.29126,-0.04445,0.86970,1.41422,-0.59508,0.43651,-0.14765
12.48913,13.98354,-2.56698,1.48016,1.32826,0.26407,-0.81142,-0.71058
12.91040,13.22714,-1.04892,0.70810,1.01750,-0.17609,0.39544,-0.87916
12.44916,13.88462,-2.38087,1.03846,0.81161,0.73866,0.17068,-0.67028
12.45791,13.45779,-1.66217,1.41201,0.35171,-0.17005,-0.87994,0.34762
12.55268,13.92187,-0.59133,1.28221,0.63116,-0.48279,-0.13983,-0.25263
12.54829,13.41200,-1.40990,1.26230,0.04329,-0.50035,-0.10371,-0.32799
12.92220,13.79568,-0.81791,1.34172,0.66777,-0.19993,-0.07170,0.11188
12.54070,13.38722,-2.70760,0.75660,0.03388,0.35157,-0.91483,-0.21618
12.60479,14.22268,-1.71239,0.91227,0.32097,-0.64938,-0.23730,-0.38068
12.73823,13.77733,-2.77370,0.78887,0.38282,0.76192,-0.12950,-0.89794
12.45114,13.59626,-2.03807,1.35409,0.43727,-0.89298,0.88908,0.64910
12.49368,13.54359,-0.02525,1.21240,0.26956,0.57885,-0.25757,0.98319
12.81571,14.09074,-2.22272,0.94083,1.30877,0.61487,0.75208,0.15915
13.28534,13.76354,-2.81461,0.70028,0.45701,0.60238,-0.19434,0.20088
12.59487,14.07327,-0.35195,1.39241,1.37574,0.61267,0.08904,0.43302
13.15543,13.67472,-0.79830,1.30247,1.45524,-0.36589,-0.09798,0.00287
12.48977,13.52986,-0.79566,1.10231,1.40047,0.80553,-0.48208,0.33348
12.57837,13.81980,-1.67497,1.48088,0.04385,-0.15434,0.82785,0.35495
12.57295,13.67540,-2.35941,0.79498,0.49673,0.99422,-0.87924,-0.62105
12.52700,13.86632,-0.74846,1.33084,0.19833,-0.62173,-0.38209,0.03704
12.86695,13.96538,-1.96978,0.94135,0.03470,-0.44422,-0.96640,0.11151
12.64084,13.33900,-0.49565,1.04829,1.49873,-0.65199,0.00482,-0.94970
12.90658,13.33711,-1.97007,1.13754,0.25377,-0.76006,0.06942,0.86961
13.14043,13.40517,-1.24553,1.03844,0.14521,-0.34083,-0.68251,-0.20796
12.84093,14.06926,-1.30471,1.47696,1.04828,-0.87559,-0.11557,0.59576
12.93128,13.30218,-1.81193,1.19923,1.41863,0.07344,-0.80623,0.93720
13.22463,13.77004,-1.26733,1.39157,0.37067,-0.67498,0.48555,-0.35736
12.69984,14.36697,-0.21662,0.87385,1.25819,0.75572,0.85050,-0.11645
13.20416,13.56780,-2.01573,1.10996,1.16448,0.27288,-0.12563,-0.61050
13.24320,13.76646,-2.68291,1.39700,0.68291,0.93087,0.03273,-0.91400
12.96865,14.11139,-0.59883,0.96893,0.95133,-0.93071,-0.72665,0.81861
12.56962,13.31586,-2.88034,1.48116,1.24955,-0.69398,0.21332,0.65157
12.41713,13.41392,-0.13317,0.78576,0.65260,0.28757,0.67344,0.17598
13.19819,14.09377,-1.81985,0.70507,0.28629,-0.70682,0.47431,-0.77296
12.81257,13.74262,-2.69423,1.07630,0.25029,0.41849,-0.41515,-0.69489
12.41543,13.96828,-2.52557,0.75889,1.40958,-0.22182,-0.57606,-0.00043
12.91236,14.00522,-2.38185,0.70037,0.33108,-0.88771,-0.23888,0.21317
12.98375,13.31716,-1.45912,0.90113,0.28889,-0.90578,0.92395,0.28948
13.20162,13.27464,-1.47187,1.18109,0.16509,0.40299,-0.78639,0.44849
12.49069,13.59184,-0.57489,0.81599,0.28242,0.07878,-0.35842,0.84267
12.82771,14.30564,-2.20885,1.07437,0.31063,0.86414,0.60505,0.34795
12.63923,14.18138,-1.74497,1.00145,0.46777,-0.69176,0.17896,0.44385
12.95427,13.62101,-1.12444,0.88884,0.72299,-0.56778,0.42587,0.43085
12.76765,13.23273,-2.04858,0.91730,1.30396,0.68190,0.18489,-0.27366
12.91393,13.85904,-2.21337,1.35100,0.31788,-0.16762,0.36541,-0.52788
13.10568,14.20682,-0.27092,1.06352,0.93081,0.87174,0.54596,-0.59984
