# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.80995,14.34392,-2.13669,1.35197,0.90961,-0.52834,-0.40044,0.92753
12.49970,14.11526,-0.20463,1.27271,0.62890,-0.61415,-0.58505,-0.51280
13.24788,13.73484,-2.43575,1.00499,1.47743,-0.86347,-0.39698,0.89251
12.77760,13.80529,-0.40921,1.12057,0.81658,0.71996,0.46451,0.41556
13.24933,13.30031,-1.34291,1.39074,0.64636,0.33757,0.68697,-0.53493
13.14243,14.06381,-2.18416,0.74566,0.75162,-0.85348,-0.67700,-0.30810
12.55800,13.56860,-0.54396,1.14178,0.52067,-0.21554,-0.89948,-0.67502
12.91158,13.25118,-0.63027,1.12461,0.58581,-0.06433,-0.81943,0.76206
12.89918,14.19143,-2.67463,1.04801,0.70424,-0.05047,-0.69573,-0.01509
12.43838,13.39373,-0.70027,0.96309,0.79497,-0.35128,0.67513,0.33294
12.45726,13.21274,-2.08332,1.49290,1.05491,0.02413,-0.99637,-0.63926
13.22349,13.57173,-0.38618,1.30740,1.49431,-0.40560,-0.66304,0.57307
12.61128,13.44095,-1.43219,1.44943,1.49542,-0.74892,0.92007,-0.47595
12.41200,13.47763,-2.14225,0.79436,0.87017,0.30912,-0.18584,0.19826
13.08975,13.70685,-0.75947,1.48140,0.98714,0.90581,-0.66359,0.07377
12.75775,13.91184,-2.25676,1.27108,1.07164,-0.61901,0.57916,0.77638
12.51228,13.91936,-2.21600,0.84004,0.68911,-0.08528,0.66296,-0.42942
13.11042,13.47655,-0.78044,0.70986,1.27187,0.17060,-0.72189,-0.67324
12.75576,14.04021,-0.38983,0.78674,0.59834,0.90999,-0.55248,0.49175
12.80681,13.47370,-0.65172,1.35802,0.62505,-0.22038,0.18821,0.13714
13.11950,13.74932,-1.27356,1.18422,0.86146,0.52048,-0.69801,0.04541
12.47060,13.36560,-2.48726,1.03259,1.14858,0.30784,0.83948,-0.66958
13.21840,13.85657,-1.24541,1.15098,0.80365,-0.35379,-0.44110,0.44029
12.50593,14.22052,-0.40691,1.20494,1.19881,-0.25602,-0.83704,-0.74147
13.21311,14.17178,-1.27929,0.93856,0.26590,-0.50580,0.58998,0.60990
13.02514,14.29041,-2.24185,1.29753,1.42132,-0.21161,-0.52187,-0.35373
12.74482,14.00030,-2.17985,1.24512,1.17079,-0.14167,-0.12333,0.96144
12.79040,14.02913,-0.56163,1.02358,1.05809,-0.42342,-0.57501,-0.14000
12.59285,14.18623,-1.45715,1.45838,0.09843,-0.19553,-0.05481,0.90629
12.40391,14.35692,-2.99963,1.11089,0.88286,-0.02242,0.20954,-0.79517
12.72038,13.25842,-0.58845,0.86102,0.65822,-0.39325,0.15370,-0.27296
12.50053,13.68347,-1.29660,1.36372,0.92715,0.46367,-0.43501,-0.22037
12.50441,13.57651,-0.24978,1.10631,0.91275,-0.74712,0.29933,-0.36251
12.44954,14.35568,-2.48083,1.37923,0.06572,0.10569,-0.87177,-0.23741
12.87080,14.39603,-1.69670,1.21696,1.05313,-0.45828,0.09774,-0.25734
13.06031,13.22212,-1.81865,0.73376,1.08023,0.20265,-0.17889,-0.05476
12.81442,13.51452,-0.17309,1.31447,0.19757,-0.66245,0.51628,-0.14922
12.88262,14.00989,-2.18980,0.90504,0.71477,-0.55526,-0.79323,-0.30526
12.67533,13.25759,-0.88322,1.10192,0.52931,-0.45255,-0.63886,0.34060
13.00257,13.55508,-1.92793,1.28938,0.12776,0.57973,-0.03610,0.38794
13.28012,14.07765,-0.41388,1.40723,1.38894,0.76992,0.43548,-0.04953
13.24798,14.06095,-2.06642,1.09862,0.44857,0.13485,0.05952,0.50055
13.22382,13.61096,-2.87646,1.10022,0.15751,-0.69726,0.14638,0.41531
12.99345,13.26421,-1.55168,0.94385,1.04298,0.89856,0.41527,-0.64476
12.98845,14.12546,-0.49629,1.32377,1.19493,0.74155,-0.72650,-0.27179
12.77263,13.21242,-0.68495,1.19954,0.94324,-0.67039,0.83627,-0.82243
12.69904,13.78135,-1.83284,1.49874,0.29502,0.88114,-0.64882,0.44790
12.59237,13.72108,-1.69051,0.82513,1.28952,-0.63435,0.38727,-0.07353
12.89695,13.66983,-2.22168,1.17687,1.14405,0.12969,-0.35953,0.73180
12.60299,13.82520,-2.57847,0.93056,0.17565,-0.62347,0.86531,0.87883
12.62715,14.16823,-2.05825,1.15489,1.46464,-0.41640,-0.22778,-0.85799
13.26790,13.54857,-1.17152,0.80436,0.57042,0.98248,0.77907,0.55175
12.83964,13.67594,-2.14069,0.73543,1.20630,-0.12528,-0.84937,-0.65657
12.43185,13.71860,-0.96775,0.83562,0.36121,-0.93270,0.77924,0.05621
12.53362,14.32192,-1.24279,0.75443,0.73696,0.92477,0.87707,-0.51449
12.75335,13.84663,-0.87575,0.85200,1.17491,0.50868,-0.89280,-0.68946
13.22720,13.97660,-2.10929,0.70436,1.46373,-0.85493,0.33349,0.54342
12.99166,13.51819,-2.94312,1.14425,0.98999,-0.55011,-0.75625,0.56571
12.73072,13.52296,-1.92725,1.19856,0.16102,-0.09507,-0.33364,0.93648
12.66971,13.87053,-2.08031,0.91466,0.56082,-0.82648,0.06425,-0.37055
12.75341,13.44995,-1.49301,0.81373,0.55393,-0.56024,-0.15717,-0.04939
13.02971,13.49358,-0.80003,1.20277,0.60417,-0.51507,0.97500,0.73298
12.54275,13.65808,-1.31421,1.25143,0.12221,-0.65455,0.04921,-0.23262
12.76116,14.32693,-2.49645,1.20223,0.94244,0.20841,-0.84810,0.42646
12.61079,14.25875,-1.44168,1.09930,0.61404,-0.48240,-0.58333,-0.38624
13.17111,13.52236,-0.40731,0.78824,0.58248,-0.62830,0.71456,0.46582
12.47030,13.37424,-2.50006,1.02925,0.74151,0.99678,-0.77731,-0.56414
12.45625,13.78818,-1.91192,1.43596,0.56532,0.25693,-0.95291,0.53222
12.95357,14.27549,-2.80092,1.39416,0.74594,0.07063,0.89524,0.24578
12.89460,13.56109,-2.11891,0.73986,0.96383,-0.28692,0.65083,0.03525
12.93805,14.08006,-2.41915,0.96964,0.46201,-0.60557,-0.64765,-0.45813
12.99592,13.97159,-0.45150,1.18296,0.47138,-0.02403,0.60319,-0.82474
13.26311,14.02643,-0.85583,0.88720,0.81749,-0.89430,0.11387,-0.50661
12.90172,14.12704,-0.19776,1.03152,0.82153,0.66158,-0.00167,-0.93688
12.96512,13.31951,-2.52182,1.07515,1.34272,-0.83545,0.04500,0.21269
12.89496,13.35826,-0.42827,1.41642,0.13031,0.47102,-0.06908,-0.06527
13.11577,13.45141,-0.37379,1.13661,0.25321,-0.45371,0.87922,-0.23334
13.08815,13.74656,-2.39248,0.92639,0.90599,0.57266,0.64832,-0.48472
12.63856,13.91014,-1.04738,1.40168,1.13897,-0.90617,-0.97966,-0.95938
13.05314,14.24613,-0.32557,1.31631,0.97604,-0.14952,0.38253,-0.24251
