log_likelihood,log_weights,log_evidence,log_evidence_err,omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_1,logM_cut,alpha,sigma,kappa,B_cen,B_sat,s
-67144.17159470415,-67151.08134798579,-67151.08134798579,0.0,0.021890877639812515,0.13908662879508563,0.7632767411360212,1.0195347652938072,-0.03767232784921141,1.4989936101736614,-1.1732433472018169,-0.5955409640315996,13.507273159566745,13.073568095324275,1.1271208697882924,-1.124955549218686,0.01119298321657447,-0.657700650615483,-0.5480353330277434,0.7477067889912645
-56587.55790643574,-56594.469657720045,-56594.469657720045,0.0,0.021765617700287024,0.10331136764570215,0.9334193983799848,0.9133238397910904,-0.03688670468754048,2.462065485333105,-0.8277759598572515,0.5084626216532359,13.719606194644093,12.786131694437271,1.4222135787781307,-2.9535086277284113,1.1749371621866103,0.6144896503055508,-0.8341347941476427,0.7719814230741
-23022.9999776592,-23029.91372694617,-23029.91372694617,0.0,0.02105607379340724,0.1356295559978639,0.718958304639371,0.9405587997066718,0.017060636054282312,1.3326886346773263,-1.187717336070252,-0.5628894437439126,13.858378132555364,12.457194030198465,0.8501953239260794,-2.927666795104387,1.2880032383275875,0.36783061685034046,-0.10285478377180701,0.38765849319379697
-19012.818839401552,-19019.734586691186,-19019.734586691186,0.0,0.021076546215809816,0.10366378855464922,0.9328472659241844,1.0062421178363403,0.031070005285121875,2.7824825917097655,-1.0457548305243634,0.5211120082868302,13.880417492182529,12.775570304044875,1.1518135466395139,-1.5843002935376596,0.7791605766658716,-0.22186175513101358,0.4584989321856294,-0.4934640183514556
-10728.539007384674,-10735.45675267697,-10735.45675267697,0.0,0.02149784790831893,0.13607918682730122,0.925810191755277,0.9328130571172262,-0.03252772853905605,1.2264552896403733,-1.1365333665065624,-0.5325161369621438,13.358048517987896,12.946232125954177,0.7085077632232436,-0.2648598304814884,0.10698753353485935,0.010832776954384116,0.3580347244674902,-0.5937018184225695
-10622.184389897218,-10629.104133192177,-10629.104133192177,0.0,0.021481425650415286,0.10421903065254584,0.8738805917894629,0.9831751314711046,0.021660972195156232,2.633592067950674,-0.752190282530993,0.17297030374477163,14.292141788559288,13.131598998661202,0.8631507364422789,-0.7630958406768054,1.4515391685650023,-0.4917048503195858,0.3174953719032161,0.8841457606735841
-9931.676206820914,-9938.597948118535,-9938.597948118535,0.0,0.02226579718880109,0.1056437699497003,0.9217759356111789,1.0051407051416525,-0.032875262097127114,2.707802526566848,-0.8436946689363773,0.35393708090272646,13.814477526773581,13.239152729172948,0.823043120066763,-1.9362011356911601,0.9970342580563175,0.2657040080923623,-0.12814136596897008,0.1456230540306922
-8595.669016610176,-8602.59275591046,-8602.59275591046,0.0,0.02380285090499456,0.13751259341840694,0.850294139563299,1.0021359022448082,0.03561106328800006,1.3382622401361157,-1.0000598458380918,-0.4886884264134691,13.871886568263328,12.482483042233449,0.798271606049534,-2.674149569670308,1.1788921468652054,-0.9196100060392283,-0.06949657466048142,0.616051373713105
-5556.281401731651,-5563.207139034597,-5563.207139034597,0.0,0.022324907011185568,0.13596234620785275,0.8330952029559198,1.0027886782046491,-0.031701337152039016,1.7644985200735057,-0.7820324100737186,0.32610045083004024,13.753469029929972,13.26218517559309,1.395770729465448,-1.8927929072440888,1.3035271672544253,0.3131359186818956,0.4984665957837422,-0.48004448525179844
-5277.0179891555035,-5283.945724461112,-5283.945724461112,0.0,0.02300368830297455,0.11471532990265847,0.7020489266374191,0.9683958682051786,0.015050453797532407,2.8543545123819025,-0.7621137405837848,0.606933928369339,13.200223738991747,12.414868986473323,1.0278199967745245,-0.020275423565438544,1.1180307751193053,0.14081834859381637,0.4600795777260527,-0.48054707934635243
-4418.234908941665,-4425.164642249936,-4425.164642249936,0.0,0.024252208527820195,0.12534889270803568,0.8710690307824622,0.9727434540868559,0.02396980876874287,1.4529484255829885,-0.8493915100814229,0.36482450615287454,13.371645409699394,13.287939152485341,1.3191554903217522,-0.7076486483415017,0.5912468568381753,-0.23786956432218598,-0.30409764584200505,0.05505958031970515
-4402.039746841974,-4408.971478060325,-4408.971477967558,0.0,0.021249090209272948,0.13865770125645965,0.9251609561031705,0.9552978292578135,-0.0201114479275668,1.6670734295767704,-0.7711828785599042,0.20038867257854165,14.356273965998236,12.549666084821787,0.961252539618127,-2.431117911899729,0.050053201289499805,-0.4750937664571342,-0.811840353312264,-0.8340719266264136
-4032.9499990650115,-4039.8837283786083,-4039.8837283786083,0.0,0.02290296651312865,0.1237409554724743,0.8615159586018643,0.9172768617181549,-0.012500918664611938,1.852014858482957,-0.8819221984121491,0.029909193815823798,13.306893559088476,13.207887568287415,1.3265879701385939,-1.3646856541331638,1.0972876718122504,0.4925239610448613,0.010060462210082166,-0.1551201173763035
-3799.120642533215,-3806.0563698494743,-3806.0563698494743,0.0,0.022862233341163055,0.13938292021293971,0.9114008235144497,1.0004500135574466,0.01687193970156984,1.7251965978800397,-0.8704833592848593,-0.16206893283735585,14.14824415763221,13.273632885750354,1.2733926214145184,-0.8965849538666055,1.0735827658623038,0.3091029899783755,0.5459924014679673,-0.8412987703573205
-3789.341629543524,-3796.279298236389,-3796.2792415002955,0.0,0.022157659104899214,0.12885029480392124,0.8399181202204785,1.0153038277121178,-0.028053590652173492,1.911223691990498,-0.8869264184007627,0.12753360242068057,13.596083236606802,13.240447658809066,1.470664492357364,-1.9060478975379798,1.321657404881086,-0.7280864714118878,-0.8113401771643305,-0.5565950684215579
