# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
13.19136,13.79458,-2.67994,0.77751,0.35240,0.24580,0.80261,0.01275,0.78824
13.05665,14.30144,-2.53683,1.30425,0.17195,0.32312,0.86251,0.15999,0.93816
13.19103,13.60635,-2.74598,0.96136,1.22164,0.19732,0.94552,0.43471,0.82980
12.79338,13.45158,-0.83741,0.97934,0.85433,0.40003,0.78354,0.20869,0.44208
12.47469,13.97312,-2.43659,0.77159,1.42521,0.12929,0.93248,0.31501,0.25022
13.11981,13.94703,-2.60001,0.84832,1.34197,0.00289,0.79674,-0.46764,-0.30273
12.84366,13.99565,-2.69008,0.93343,1.13075,0.28883,1.01909,-0.01824,0.20013
12.55725,14.20219,-2.45352,0.75196,0.08817,0.01526,0.75261,-0.25579,-0.15794
13.09243,13.59000,-0.55628,1.35292,0.67426,0.35684,1.11233,0.23211,0.19805
12.43914,13.91626,-2.00385,0.90750,1.05559,0.17073,1.08519,0.15108,0.66340
12.51356,13.81097,-2.57973,1.07916,1.47457,0.03102,1.10782,-0.39812,0.97929
13.08214,13.73531,-0.67043,1.34715,0.75412,0.32857,0.74929,0.43390,0.07370
13.06908,14.13259,-2.78168,0.86493,0.85140,0.37932,1.26585,0.13794,0.14234
13.23645,13.25952,-1.13448,1.47785,0.06276,0.04672,1.04320,0.01047,0.85747
12.57960,14.06094,-1.46650,1.38358,1.37504,0.41080,0.94107,-0.02304,0.48208
13.17910,14.18196,-0.71003,1.38842,0.56660,0.08184,1.13011,-0.24757,0.38458
12.83853,14.10369,-2.63916,1.22283,1.13976,0.07739,0.72282,0.16783,0.42695
12.48222,13.62600,-2.41384,0.73867,0.08535,0.04350,1.07724,0.44023,-0.16660
12.64059,14.21563,-1.95370,1.17693,0.80103,0.12708,0.97832,0.07275,-0.12429
12.53042,13.34919,-0.42389,1.04404,0.03127,0.21569,0.78279,0.25856,0.03416
12.43182,14.36114,-2.61913,1.47908,1.21085,0.18198,0.93407,-0.15091,0.07977
13.23903,13.66172,-2.70630,1.34123,0.44133,0.06273,1.26844,-0.00472,-0.50316
13.25632,13.66363,-2.57151,1.22190,0.37479,0.13843,1.09317,0.04309,0.39057
12.99164,13.64042,-2.01757,0.93492,0.69291,0.21975,1.05009,0.39445,-0.97208
13.01311,13.96891,-2.89041,0.89075,0.68122,0.30574,0.89180,0.40970,-0.39069
12.88603,13.38413,-2.49489,0.88092,1.09293,0.36993,1.11840,0.25526,-0.20449
13.15225,13.34097,-2.76670,1.36083,1.00641,0.20503,1.03366,0.11135,-0.60823
12.98815,13.81912,-2.37576,1.15631,0.18279,0.31441,1.10160,0.17214,-0.75032
12.61926,13.63876,-1.28479,0.97020,0.69424,0.03168,1.25328,0.38536,0.15932
12.93177,13.62054,-0.39321,1.48234,0.34831,0.43035,1.06981,-0.05818,-0.45094
12.52088,14.06806,-2.45746,0.77249,0.72164,0.32565,0.95838,-0.01135,0.96116
13.05674,13.38257,-1.86846,0.70283,0.40561,0.03115,1.25497,0.29865,0.90337
12.47866,13.51881,-0.68322,1.08940,0.61516,0.04999,0.89288,-0.31860,0.11800
12.85610,13.76893,-2.04604,1.16404,0.68553,0.43931,1.27859,0.05210,0.49710
13.04242,14.01120,-1.17917,1.33676,1.24822,0.23995,0.95151,0.02238,0.56856
12.58019,14.31221,-1.67013,0.77107,1.16742,0.26004,0.71003,0.38668,-0.79120
12.49085,13.46643,-2.37667,0.77510,0.02997,0.19912,1.01798,0.02668,0.90198
13.19753,13.27130,-0.54393,1.24956,0.00853,0.35683,1.13599,0.37005,0.46538
12.93996,13.36483,-0.20408,1.15968,0.54437,0.19412,0.99842,0.35749,0.36210
13.29085,13.64737,-1.79491,1.38061,0.79978,0.10060,1.28504,0.38990,0.38703
12.78542,13.47787,-0.94881,0.78059,1.40553,0.02428,1.11499,0.02694,0.47125
12.94618,13.58192,-1.30835,0.70214,0.96424,0.07324,1.12942,0.21335,0.09344
13.08763,13.95945,-0.80680,1.11291,0.71055,0.00681,0.71763,0.43219,0.28342
13.19684,13.39098,-0.92151,0.98785,0.35979,0.36966,1.20660,0.49684,0.45721
12.78578,14.27137,-1.29819,0.97990,0.74886,0.14240,1.12604,-0.23814,-0.95669
13.17299,14.00066,-1.36901,0.71667,0.92728,0.32332,0.94509,-0.05802,0.38578
13.18337,13.50971,-0.75843,1.24905,1.02100,0.21528,0.76843,-0.32077,0.30492
12.87736,13.37582,-2.21759,1.21275,0.65422,0.38544,1.13292,-0.10035,-0.95615
13.18748,13.69896,-2.08360,0.99087,1.20912,0.32616,1.07121,-0.20949,-0.40753
12.79800,13.55585,-0.31075,0.70061,0.07775,0.38551,1.23472,0.11691,-0.03540
13.22416,14.31861,-0.89320,1.09391,1.21059,0.02374,1.02816,-0.30796,-0.33785
12.60688,13.96355,-0.70841,0.88202,0.93010,0.40660,0.99421,0.01493,0.44413
12.67994,14.16861,-2.81616,1.26432,1.46436,0.45714,1.05862,0.02510,0.78876
13.06204,13.90893,-1.14598,0.91695,0.44240,0.24961,0.79219,0.07458,-0.50203
12.62855,13.47884,-2.52252,1.18615,0.12546,0.33302,1.26286,0.34200,0.70263
12.74115,13.63727,-2.02301,0.75489,0.48859,0.44727,1.14725,-0.18562,0.19432
12.95823,13.70424,-0.62114,1.04910,1.14766,0.11446,0.96199,0.25886,-0.07891
13.25490,14.24889,-2.81635,1.43979,0.66134,0.01340,0.78101,0.15620,-0.07633
12.53147,13.97164,-0.01918,1.39198,0.99029,0.22108,1.13779,-0.27537,-0.96915
12.78747,14.15374,-1.32596,1.49530,1.15556,0.14253,0.84721,0.31192,-0.37942
12.51553,14.32504,-2.63192,1.28898,0.54196,0.19163,0.92108,0.34770,-0.45962
12.73501,13.34750,-0.21691,0.74783,0.71410,0.16756,0.79947,0.05835,-0.97088
13.20819,13.86190,-2.80082,1.47660,1.31127,0.33085,0.74697,-0.13701,-0.83526
13.08788,13.58768,-1.70016,1.17878,0.71821,0.25574,0.85067,0.46792,-0.90008
12.62882,13.92535,-1.27142,1.04697,0.93506,0.43644,0.99200,0.29652,-0.75945
12.69578,14.18637,-1.72892,0.84455,1.03452,0.22405,1.15460,0.21298,0.27095
12.69947,13.92164,-1.92699,1.18080,1.46149,0.47156,0.81770,-0.26074,-0.85657
13.28398,14.07382,-2.83266,1.11409,1.45579,0.01430,1.09937,0.14503,-0.48966
13.11711,14.28983,-2.26446,1.20335,1.10947,0.30558,1.28853,0.21277,-0.45457
13.14324,13.96050,-1.24973,1.20518,1.26028,0.20325,0.71149,-0.01435,-0.42197
12.97407,13.97993,-1.39808,1.05150,0.68759,0.49874,1.06682,-0.47827,-0.13395
13.11917,13.39390,-2.38695,1.33965,0.63499,0.37855,0.86040,-0.06131,0.44105
12.67465,13.67441,-1.57387,1.17269,0.57997,0.07497,0.83530,-0.34943,-0.32778
12.58912,14.25009,-2.91980,1.15961,1.39679,0.27342,1.23594,-0.19449,-0.77450
13.07754,14.07462,-1.75993,0.88269,0.66267,0.33557,0.99195,-0.18179,-0.28469
13.25740,14.30397,-2.39434,0.98593,1.38582,0.44947,0.99082,0.14364,-0.31748
12.86714,13.61298,-2.09666,0.91753,0.24340,0.23067,0.79794,0.49688,-0.09458
12.50771,14.30923,-0.25259,1.01036,1.44490,0.07931,0.99706,-0.30961,-0.23172
12.73427,14.27907,-0.35528,1.34254,1.33368,0.10543,1.13037,-0.11967,-0.64058
13.01268,14.37073,-2.08950,0.78963,0.49022,0.25129,1.17330,-0.02829,-0.35089
12.94312,14.38559,-2.58715,1.15217,0.81368,0.46922,0.94574,-0.42230,-0.52544
12.98718,14.39980,-2.89640,1.22373,1.14739,0.22117,0.75488,-0.48625,-0.99119
12.88825,14.39996,-1.79001,1.28449,0.00117,0.06001,1.04527,0.15910,0.52042
12.53280,13.46227,-0.37098,0.73663,0.02483,0.41952,0.94904,0.30142,-0.32251
12.97709,13.68786,-0.07344,1.47451,0.37358,0.35567,0.82079,0.00519,0.25826
12.64243,14.11203,-1.24637,1.46213,1.40304,0.18046,0.74223,-0.13515,-0.81656
12.43598,13.31412,-0.72626,1.45448,0.77984,0.08134,1.11566,-0.09476,0.87462
13.21741,13.23855,-0.94229,1.30409,1.11935,0.41422,0.89170,0.33438,-0.79750
12.60418,14.09333,-1.32036,0.94866,1.12520,0.26093,0.85669,-0.33654,-0.47867
12.56543,13.52939,-1.01154,1.22537,0.68999,0.32565,1.21293,0.19558,0.86254
12.63400,14.23041,-0.57895,0.78747,1.29882,0.07899,0.95869,-0.20713,-0.73593
12.71921,13.68441,-0.90742,1.18875,1.46112,0.18641,1.20539,-0.40555,0.97404
12.89424,14.09215,-0.08844,0.74859,0.53992,0.10847,0.90630,-0.07776,0.21368
12.88460,14.36476,-1.97184,0.74295,0.88368,0.31755,0.89440,0.06707,0.05928
12.60529,13.24970,-1.05188,1.06099,0.75214,0.04847,1.17367,0.27432,-0.44944
12.68799,13.92894,-0.08050,1.45276,1.33667,0.31285,0.97438,-0.46477,0.65707
12.51496,13.62410,-1.60983,1.14605,0.42406,0.22170,0.77117,-0.01038,-0.69799
13.14065,13.36012,-1.82546,1.41114,0.90420,0.21878,0.90293,-0.16679,-0.63771
12.92878,14.36362,-0.75575,1.35644,0.13894,0.31517,0.79423,0.39272,0.16301
13.03851,14.10697,-2.08684,0.76232,0.43615,0.19748,1.03310,0.27311,0.53271
12.49558,14.06189,-1.33265,1.28526,0.71139,0.42525,0.88009,-0.39109,-0.10409
13.08243,13.69854,-0.06137,0.92926,1.15586,0.12415,1.20270,-0.22273,-0.66340
12.42552,13.73792,-1.67050,0.99612,1.41880,0.34958,1.16086,0.48428,-0.24663
13.15615,13.41672,-2.09899,0.84087,0.72040,0.23500,1.01058,0.01403,-0.94197
12.55496,13.52997,-1.17143,0.89173,0.06921,0.45910,0.76380,-0.00420,0.40268
12.69629,13.92034,-1.85700,1.31743,0.96303,0.30823,0.81185,0.27211,-0.40597
13.00781,13.96152,-0.05977,0.75332,0.43794,0.12322,1.04639,-0.18100,-0.55480
13.04024,14.16391,-0.43733,1.40427,0.72798,0.46033,1.17968,-0.06626,-0.91900
13.16140,14.04433,-2.46324,0.85392,1.39979,0.06490,0.97629,0.06866,-0.48348
12.99733,13.67241,-1.62673,1.10709,0.61267,0.23546,0.91191,0.31151,0.54501
13.13341,13.80402,-2.68535,0.82478,0.18782,0.02235,1.22046,0.42228,-0.85458
12.58208,13.85561,-1.65257,1.39009,0.15596,0.40696,0.90252,-0.18742,0.66924
13.22986,13.99333,-1.13032,0.80619,1.12241,0.04800,0.70232,-0.45533,-0.82135
13.01154,14.26988,-0.25694,1.01741,0.10099,0.34659,1.27115,-0.39525,0.10751
13.02946,13.39740,-0.52933,1.18897,1.40376,0.19358,1.02868,0.31969,-0.19466
12.85157,14.19003,-2.52305,0.99138,0.60633,0.40664,1.12495,-0.19948,0.20793
12.58012,13.67415,-0.22847,1.02256,0.46288,0.18274,0.91808,0.49116,-0.62688
13.03836,13.77432,-1.01238,1.24817,0.68969,0.22877,1.27717,-0.38925,0.50605
12.69206,14.16630,-0.67222,1.18638,0.47304,0.25037,0.88758,0.07335,-0.66318
12.55454,14.10710,-1.41829,1.27292,0.60530,0.35115,0.76858,0.01155,0.22732
12.50346,14.35954,-1.72770,1.29573,1.01133,0.31545,1.20054,-0.29251,0.90293
12.81651,13.56960,-0.03760,0.87533,0.12237,0.45192,1.12902,0.30302,0.16586
12.87851,14.35612,-0.61758,1.20788,0.59269,0.28504,1.27638,-0.15818,0.17750
13.00450,13.81767,-2.73674,1.44367,0.79536,0.40764,1.14664,0.13831,-0.83418
13.28888,13.71000,-2.65780,1.40733,0.80992,0.36893,1.07599,-0.19966,0.23996
