# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.49414,13.78292,-1.42748,0.74746,0.22897,0.48265,0.81295,0.09334,-0.36361
12.72818,13.27978,-1.80991,0.74506,1.45706,0.43320,0.91349,-0.33063,-0.97126
13.28682,13.39922,-1.19966,1.02941,1.12624,0.13825,0.87675,0.40652,-0.43642
13.23699,13.93199,-1.76152,0.87069,1.10357,0.45925,0.79448,0.46810,-0.66597
12.67765,14.34334,-0.48664,1.35874,0.53356,0.27217,0.78750,-0.31073,0.70995
12.99384,13.67463,-2.85956,1.23653,0.42735,0.44297,1.14835,0.46780,0.60608
12.74006,14.17765,-0.45225,1.27803,0.88935,0.48343,0.99419,0.41990,0.14541
12.76572,13.34791,-1.87474,1.22923,0.22616,0.07884,1.09246,-0.49583,-0.90520
12.60518,13.79365,-2.44447,0.99241,0.37910,0.33140,1.14773,0.40848,-0.86279
12.69511,13.54980,-0.30350,1.24078,0.00253,0.31816,0.94815,-0.04461,-0.63022
13.21221,13.21420,-2.25888,0.85033,0.66241,0.02473,1.25130,0.45861,-0.22302
12.74927,13.56588,-2.25493,1.33730,1.08222,0.24168,1.21299,-0.49953,0.88785
12.88028,13.94275,-1.61482,0.91012,0.99771,0.05107,0.86121,-0.00535,-0.21420
12.61034,13.42105,-2.95043,1.03524,0.03875,0.15600,1.27887,-0.12010,0.14773
12.58081,13.55805,-0.41749,0.82867,0.89017,0.25421,1.12023,-0.10496,0.47107
13.03001,13.73569,-2.79551,1.29234,0.00165,0.02954,0.93244,0.01648,-0.74925
12.49720,13.42323,-0.82891,0.75523,0.85074,0.46542,0.98496,-0.41506,0.58183
13.22516,14.04869,-2.27351,1.15363,1.49099,0.25540,1.03448,0.40925,-0.36186
13.17583,13.92339,-2.63556,0.89144,0.65173,0.07341,1.21972,0.33538,-0.99766
12.45055,13.68384,-2.89834,0.78615,0.37951,0.28731,0.93146,0.27782,0.28382
12.92861,13.99484,-2.30432,1.38716,0.93081,0.10751,1.02329,-0.36309,-0.14021
12.66980,13.88777,-0.37743,0.77861,0.09129,0.48574,1.02868,0.23631,0.07267
12.84559,13.49012,-1.70193,0.79226,1.14693,0.25560,0.74543,-0.24391,0.63357
12.86623,13.72799,-1.26181,1.04806,1.21493,0.04313,0.74633,-0.32513,-0.55227
12.80722,13.70577,-2.12786,0.91778,0.88083,0.34006,1.23335,-0.20384,0.30267
12.63839,14.18983,-1.31087,1.23802,1.03019,0.11893,1.28566,0.22717,0.92471
12.83848,13.71562,-1.13036,1.19282,0.50968,0.17640,0.76703,-0.41771,0.00407
13.27948,13.34710,-1.66543,1.04808,0.92084,0.41559,0.82782,0.13440,0.47852
12.81001,13.25500,-0.10709,1.40856,1.06592,0.35004,1.11821,-0.06833,0.94957
12.81869,13.61576,-2.39983,1.29721,0.47353,0.10097,1.22906,-0.05610,-0.32021
12.48568,14.25214,-1.58216,0.72036,0.34874,0.34561,1.03673,0.17883,-0.47842
12.94379,13.34028,-0.58288,1.16565,1.22449,0.38195,0.88396,0.11611,0.66225
12.85297,14.23154,-0.53042,0.87136,1.48445,0.31070,0.92172,0.37651,0.21536
12.66622,13.60631,-2.03224,1.09758,0.70303,0.42675,1.25050,0.30765,0.60293
13.00909,13.67776,-0.78909,1.07674,0.55989,0.46019,1.07525,0.04841,-0.89018
13.02230,14.20363,-1.38509,0.76646,1.29049,0.01270,0.84715,0.09514,0.81678
13.15208,13.36913,-1.85943,1.19309,0.41669,0.38677,0.85778,0.47616,0.07340
12.58775,14.26800,-2.70745,1.21769,0.72429,0.42615,0.75366,-0.03844,-0.36091
12.46809,13.57419,-1.69918,1.19380,0.79039,0.26762,0.97597,0.09773,-0.92215
12.63488,13.44466,-0.21292,0.97812,1.04922,0.43047,0.81962,-0.47720,-0.09846
12.63967,13.66470,-0.15470,1.38819,1.23433,0.21279,1.22872,-0.24327,0.81099
13.14236,13.25509,-2.02999,1.35224,0.37335,0.26833,0.88163,-0.37580,0.96127
12.90596,14.13574,-1.42337,1.32950,0.54827,0.02199,1.19100,-0.20828,0.72564
13.03098,13.69654,-1.28589,1.04517,1.01598,0.18990,1.10468,0.18346,-0.70061
12.71004,13.35640,-2.39903,0.72248,0.66096,0.18646,1.29793,0.25952,-0.58524
12.74371,14.16850,-1.77001,1.45456,0.02614,0.10769,1.11073,0.25678,0.80877
13.19051,13.97225,-1.58826,1.19323,0.50502,0.16137,0.88353,0.30684,-0.78702
13.26372,13.36270,-0.95963,0.99648,0.47221,0.32401,1.17591,-0.35318,0.18891
13.16980,14.37420,-1.16468,1.26179,0.62805,0.16871,0.88573,-0.41045,-0.64310
12.49761,13.55235,-0.68185,0.99486,0.49768,0.13744,1.16798,-0.37502,0.23929
13.13757,14.00374,-0.57054,1.06100,0.37652,0.03135,0.93644,0.20447,-0.28322
13.11821,13.50473,-1.07791,0.92957,0.71220,0.43019,0.96528,0.21195,0.22341
