# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.72768,13.95991,-0.24339,1.30874,0.54915,0.12260,0.77401,0.39619,0.00760
12.80586,13.99958,-1.44707,1.46277,1.26566,0.26209,0.93754,0.39168,0.44095
12.50936,14.29380,-0.97428,0.71273,1.36256,0.30442,1.21496,0.08328,-0.61897
12.46308,13.59970,-0.78631,0.96180,0.78444,0.14065,0.78381,-0.43088,0.22102
13.24384,14.22555,-1.45894,1.22975,0.09792,0.07230,0.96932,0.26018,0.98319
12.80969,13.85108,-2.78641,1.37003,0.50528,0.21671,1.06531,-0.01428,0.03027
12.82531,14.11405,-1.87666,1.38328,0.09155,0.46957,0.78860,-0.05535,-0.50457
13.03153,13.84100,-2.76895,1.00965,1.02383,0.07345,1.00637,-0.22845,-0.57190
12.96626,14.04973,-2.48279,1.10561,1.11011,0.21146,1.01609,-0.36311,0.46414
12.46248,13.28792,-0.02195,1.10932,1.20601,0.35746,0.86092,0.19911,0.35799
12.96007,14.31059,-1.01468,0.85254,0.98884,0.08309,0.92985,-0.21830,0.58915
12.96028,14.17294,-0.91914,0.97583,0.00978,0.26918,0.98498,0.42371,0.65267
13.01033,14.09422,-0.54166,1.07894,0.72253,0.22241,0.78004,0.02218,0.48458
12.87207,13.28369,-1.71585,1.18534,1.26977,0.45833,1.15956,0.29200,-0.92343
13.27635,13.41469,-1.16667,1.39025,1.07355,0.25626,1.04846,-0.09541,0.09276
12.61218,13.62918,-2.60874,1.08567,0.05838,0.24823,1.12038,0.01430,0.70092
12.70374,14.28630,-1.97731,0.85168,0.16639,0.22013,1.20100,0.18629,-0.53892
12.72856,14.07826,-1.30750,1.33626,0.45840,0.09161,1.19153,-0.41295,-0.17115
12.61960,13.41336,-0.63222,1.41904,0.38259,0.46759,0.87539,0.22049,0.61954
13.05717,13.82663,-0.87257,1.03546,1.18815,0.38353,0.80549,-0.43604,-0.38816
12.57343,13.93037,-0.55555,0.78327,0.72435,0.00355,1.26729,-0.04308,0.74870
13.05971,13.98218,-1.89821,1.16699,1.11329,0.30358,1.03119,-0.02710,0.91985
12.47963,13.66395,-2.25517,1.28772,1.29571,0.41654,1.04769,0.41899,-0.68933
12.89127,14.16294,-2.37810,0.94552,0.95516,0.10887,1.03819,-0.14551,0.67319
12.92455,14.14720,-1.90673,1.38702,0.49145,0.01617,0.92586,0.33470,-0.47390
12.47069,14.27756,-2.48405,0.83269,0.58078,0.43511,1.25047,0.26165,-0.48456
13.21472,14.11967,-1.69443,1.45425,1.07793,0.39196,1.14453,0.22760,-0.69488
13.02120,14.37020,-1.66341,1.45856,0.46424,0.46773,1.04645,0.33861,0.64197
12.45256,13.82690,-0.92813,1.00287,1.06844,0.41595,0.76423,0.21271,-0.99068
12.79204,13.35258,-2.73612,1.06598,1.25488,0.17292,0.90070,-0.06302,-0.46033
13.17205,13.89167,-2.10165,1.07362,0.16138,0.10965,1.26354,-0.27831,0.83041
12.61846,14.00357,-2.73962,1.21253,0.64618,0.29936,0.77811,-0.12843,0.20673
12.82637,13.29392,-0.89328,1.18909,0.91180,0.28636,0.78365,-0.39693,-0.82795
12.40927,13.68742,-1.92967,1.18024,0.54500,0.13382,1.25796,0.19516,0.58846
12.95313,14.00005,-2.82025,0.95697,0.43004,0.33991,0.96478,0.07470,0.60143
13.19310,13.21627,-2.91567,1.11751,0.52391,0.07825,1.20136,0.21973,0.45446
13.27509,14.38010,-1.46486,1.10822,0.21503,0.28009,1.18388,-0.39856,-0.92883
13.00862,13.73121,-0.77551,0.90380,0.99074,0.09198,0.76143,0.37254,-0.18428
12.93510,13.53872,-0.36505,0.78710,0.44142,0.22557,0.90628,-0.36540,-0.73054
13.21178,13.68308,-0.75999,0.89342,1.10142,0.35025,1.09582,-0.47739,-0.66075
