# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.82697,14.37556,-0.48269,0.93498,0.24197,0.34244,0.71499,0.31462,0.18810
12.95798,13.58573,-1.18149,1.22206,1.48091,0.13748,0.84264,-0.34829,0.87972
12.73227,13.89914,-0.10351,1.07804,1.46670,0.03057,0.88077,0.41769,-0.56294
12.89510,13.81124,-0.06769,1.46725,1.46409,0.11499,1.28063,-0.08844,0.99413
13.15902,13.48740,-1.19996,1.05584,0.63724,0.09751,1.00669,0.39303,0.94294
12.64779,13.26599,-2.24288,0.74253,1.12864,0.28158,1.23958,0.23064,-0.92880
12.81632,13.94876,-1.48326,1.48488,1.13666,0.20471,1.18047,0.43750,0.37900
13.05876,13.28782,-2.72919,1.32008,1.22135,0.24285,1.03769,-0.24243,-0.00200
12.49730,14.18660,-1.62737,1.31937,0.23733,0.09100,0.75043,0.46314,0.90064
13.11432,13.54470,-0.96415,1.22178,0.20384,0.25080,0.88024,0.26172,0.07484
12.78614,14.32891,-1.77632,1.24385,0.76722,0.22638,1.14843,0.00479,0.62480
13.29244,13.84363,-2.96942,1.28908,0.49626,0.25960,1.00151,0.30058,-0.72118
13.18893,14.07008,-0.07279,1.36142,0.51870,0.38874,1.29013,0.21815,-0.22643
13.28449,13.82639,-2.24854,1.22040,0.37451,0.03270,1.00992,-0.09805,0.10406
12.89348,13.90477,-2.17497,1.05239,0.70761,0.30932,1.06757,0.30889,0.68706
12.45332,14.30387,-2.44455,0.91224,0.72801,0.42055,0.87533,-0.24187,-0.47150
12.88416,13.74023,-0.34278,0.95388,1.29280,0.36413,0.93095,-0.40379,0.98995
12.57037,14.31470,-0.30893,1.04439,0.86140,0.49186,0.98616,-0.43724,0.03892
12.92231,13.48543,-0.86343,1.39566,0.54025,0.37236,1.00947,-0.35494,-0.46978
13.04352,13.41033,-2.38958,0.76208,0.52984,0.04846,0.95853,0.20382,-0.28499
13.09188,13.49983,-2.77385,0.84396,1.04623,0.32849,0.71226,-0.10316,-0.04786
13.13228,13.92885,-0.58630,1.03272,0.81074,0.23008,1.29484,0.27254,0.56823
12.51655,14.26791,-1.23259,0.97097,0.53764,0.38350,1.26569,-0.14606,-0.10519
12.99364,13.55183,-1.49462,1.16498,0.75331,0.01687,0.77745,0.31262,0.66214
13.23683,14.27862,-0.98301,1.46137,1.21856,0.39015,0.97508,-0.30517,0.96430
13.07498,13.46501,-0.08501,1.27994,0.43436,0.26231,0.88247,-0.31381,0.94905
12.93785,13.58358,-1.76162,1.26798,0.62376,0.37760,0.71089,-0.35707,-0.05728
13.26838,14.33173,-0.61691,1.04055,1.07501,0.02112,1.28857,-0.00024,-0.29772
13.06321,13.26904,-2.98286,1.33581,0.82071,0.18870,0.84195,-0.25283,-0.01731
12.69714,13.97948,-1.56581,1.39207,1.30139,0.10785,0.98389,0.29616,-0.24288
12.71063,13.44416,-1.01150,0.82864,0.37897,0.29322,1.04918,0.02434,-0.68975
12.46721,14.32922,-2.96256,0.92263,0.75290,0.10146,0.71092,0.07812,-0.80954
12.68066,14.08280,-2.95586,1.44243,1.37759,0.47243,1.23393,0.09317,0.26356
12.57875,13.99761,-2.61161,1.14610,0.70133,0.17263,0.86765,-0.13820,0.61683
12.54437,13.26215,-2.78758,1.19586,1.47152,0.21458,1.09018,0.25616,0.00310
12.95641,13.97763,-1.02361,1.29773,0.13145,0.12635,1.13047,-0.48236,-0.24106
13.13621,13.88473,-1.31078,1.30057,1.43204,0.08010,1.25728,0.05921,-0.77656
12.97746,13.23218,-0.09632,1.30753,0.65817,0.40852,1.20396,0.24210,0.91680
13.15509,14.26776,-0.05288,1.48439,0.28732,0.12453,1.04400,-0.22134,0.58039
12.54377,14.35325,-0.12345,1.46313,0.80129,0.29146,0.79980,0.26823,-0.44162
12.96932,14.00757,-2.76397,0.84934,0.58424,0.06170,0.82847,0.30811,0.30920
12.54817,14.10914,-2.41046,0.82200,0.27251,0.34259,0.97801,0.40926,-0.14211
12.89048,13.56982,-0.23745,1.43229,0.60821,0.41299,0.97857,0.19069,0.26970
12.97662,14.20671,-1.84794,1.44342,0.81007,0.48525,1.04972,0.06290,-0.79709
13.28760,13.29640,-0.50888,0.99584,0.55903,0.06592,1.13554,0.11128,0.72606
13.07360,13.71122,-1.68905,1.45487,1.36835,0.37573,1.02236,-0.00047,0.59410
13.20519,13.58659,-0.69749,1.13536,0.64006,0.16128,1.02464,0.37983,-0.53356
12.42445,14.16761,-0.47067,0.78228,0.99633,0.12141,0.79364,0.18546,0.09571
13.09909,14.12531,-1.82702,1.10670,0.10596,0.41413,1.19525,0.19314,-0.43645
12.57221,13.65038,-2.59468,0.88458,1.42612,0.24151,0.72672,0.07313,-0.42725
12.55123,13.65116,-1.24591,1.31619,0.94103,0.04145,0.84440,-0.35442,-0.38685
12.52344,13.57734,-0.91515,1.16096,0.38130,0.35430,0.87124,-0.33864,-0.01540
12.73568,14.09732,-1.70298,1.22349,1.24654,0.31873,1.09954,-0.49121,0.67563
13.29115,13.96746,-0.36640,1.04232,1.18755,0.31372,1.07088,-0.28407,-0.29666
13.23105,14.26513,-1.34220,0.82333,0.91274,0.19984,1.11728,0.47856,-0.36231
12.73381,14.24179,-2.68554,1.20836,0.30749,0.08773,0.78568,0.23121,0.37397
12.81368,13.38155,-1.89635,0.81458,0.55937,0.22360,1.11688,0.06065,0.89628
12.46145,13.56098,-2.45852,1.44284,0.32651,0.15863,0.89992,0.20645,0.67847
12.57330,13.36082,-1.77721,1.43668,0.90510,0.47983,1.20958,0.21165,-0.33795
12.54980,13.60426,-2.80026,0.91846,0.08701,0.18149,1.17034,-0.16740,-0.36267
12.70492,14.34746,-2.72572,0.70361,0.38907,0.39319,1.27072,0.19476,-0.21759
12.59387,13.56788,-1.11098,1.44113,0.30403,0.27242,0.75232,0.11051,-0.40707
12.94581,13.92333,-0.60047,0.75852,0.45648,0.24820,1.20362,0.43676,0.32343
12.54834,14.05977,-0.55496,1.32109,1.40366,0.19872,1.21437,-0.35270,0.23206
13.29479,13.39905,-0.58504,1.04253,0.77106,0.24456,0.86428,-0.27875,0.01373
12.41455,13.26545,-0.29261,1.43063,0.91591,0.24174,1.12659,0.07126,0.30269
12.68539,13.38133,-0.73077,1.10007,0.30349,0.07996,0.92278,0.45143,0.88342
12.79320,13.98759,-0.19153,0.86070,0.16201,0.19738,0.71451,-0.17677,0.64575
12.41185,14.13370,-1.33881,0.88644,0.54503,0.40140,0.72158,0.29304,-0.17816
13.14295,13.40523,-1.82932,0.73723,0.27720,0.19929,1.26032,-0.32382,-0.13336
12.64547,13.22107,-1.17727,1.19198,0.75231,0.32176,1.07638,-0.09705,-0.26840
13.15779,13.67868,-2.79960,1.12266,0.08298,0.11760,0.77723,0.34226,0.96319
12.48681,14.31494,-2.43349,0.94570,1.19704,0.37852,1.02034,-0.06106,-0.20629
12.79622,13.35571,-1.31717,0.92464,0.02425,0.09823,1.10455,-0.15937,-0.11934
12.56158,13.25151,-0.09965,1.07563,0.98826,0.15738,1.21559,0.47316,0.83560
12.92925,14.39661,-2.11258,0.92701,0.42903,0.16206,0.91818,0.34065,-0.01350
12.44891,14.29448,-1.13891,1.48559,0.84882,0.31087,1.19086,0.15370,-0.43619
12.44169,13.84634,-2.17402,1.39606,0.98294,0.34339,0.74430,0.04610,0.45482
13.03578,13.38290,-1.35654,1.08078,0.32494,0.12200,1.00728,0.45210,-0.66350
12.50227,14.28561,-0.17207,1.07414,0.71029,0.26715,1.21915,0.30664,-0.79861
12.97611,13.75915,-1.60456,0.93494,1.40604,0.09794,0.76895,0.30170,0.23635
13.18258,13.73507,-1.66707,1.15172,0.58802,0.39235,1.05911,-0.40992,0.60452
13.20779,13.51809,-1.14079,0.97833,0.63483,0.48394,0.95051,0.34757,-0.65538
13.12937,13.25728,-0.47104,1.46405,1.12662,0.45171,1.25063,-0.01402,0.55999
13.02892,13.63404,-0.57081,0.85742,0.25814,0.34268,1.17713,-0.42293,-0.41940
13.10253,14.06136,-1.27742,0.92479,0.25456,0.12289,1.29240,-0.46526,-0.39016
12.48617,14.32880,-2.28566,0.84386,0.54614,0.39176,0.81382,0.15236,-0.32439
12.86508,14.03257,-2.23686,0.88522,0.29931,0.00405,1.29180,0.46673,-0.69228
