# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.51811,14.12195,-0.48497,1.01650,0.81876,0.42490,1.03167,0.26596,-0.03852
12.99054,13.80171,-1.64526,0.81815,0.31725,0.08798,0.86067,0.31919,-0.71355
12.89545,13.32346,-1.87827,1.08566,1.20952,0.31253,1.21232,0.37398,0.10039
13.19978,14.28295,-2.47101,1.16668,1.28897,0.34270,0.71876,0.43306,-0.61823
13.28615,13.69409,-0.99060,0.90483,0.59861,0.01374,1.20685,0.39458,-0.98040
13.17950,14.15161,-2.70245,1.00537,0.62733,0.33962,1.09548,-0.22263,0.77495
13.08126,14.01632,-0.66267,0.85594,0.34701,0.14536,1.08064,-0.09739,-0.97334
12.59275,13.71506,-0.17017,1.17370,1.16615,0.20947,0.95127,-0.06143,0.62226
13.09778,13.99814,-0.60061,0.89901,0.22214,0.00658,1.10667,0.26530,-0.25562
12.92837,13.94737,-0.87925,0.78441,0.39927,0.08320,0.91865,0.34851,0.69227
12.98918,14.30643,-1.92057,1.20584,0.68445,0.17778,1.26118,-0.31981,0.15015
12.85137,14.17781,-2.28902,0.92183,0.77956,0.29393,0.98293,-0.12473,0.93711
13.02415,14.10517,-0.19087,1.10942,0.57855,0.10894,0.86662,-0.34908,0.38217
12.93998,14.04102,-1.80768,1.12052,0.79006,0.33702,1.28629,0.37867,-0.55061
12.78682,14.07820,-1.57371,0.90834,0.08068,0.03711,1.23413,0.21373,-0.37090
13.22132,13.20267,-0.04809,1.29868,0.09690,0.36126,0.79758,0.38853,-0.08972
12.61083,13.26707,-2.32604,1.03363,0.70402,0.39430,0.92429,-0.28684,-0.72153
12.76651,13.60394,-2.58717,1.03011,1.23331,0.07295,0.94470,0.12958,-0.63468
12.71288,14.04754,-2.67142,0.76656,1.05728,0.42395,0.94584,-0.37752,0.50022
12.53266,14.23724,-2.60688,1.30839,1.31130,0.38578,0.70643,0.37021,-0.23863
12.82266,13.76305,-1.63333,1.15499,0.70434,0.09845,1.12260,-0.27808,-0.11582
12.42909,14.30450,-0.03644,1.09703,1.01823,0.10949,0.95025,-0.30752,-0.19245
12.90082,14.21424,-0.94419,1.32532,0.97831,0.09017,0.75053,0.32826,-0.98283
13.13558,13.73896,-0.84696,1.11599,0.61524,0.41249,1.19897,-0.14373,0.19093
13.14116,13.78961,-0.74427,1.25042,1.21114,0.16294,0.85258,0.29124,-0.73779
12.59605,14.23273,-2.71822,0.95231,1.34212,0.19713,0.71398,-0.16629,-0.91338
13.16535,13.84489,-2.84032,1.36605,0.28313,0.22951,1.06946,-0.29054,0.57261
13.22983,13.37749,-0.39900,1.35662,1.07063,0.42504,0.88397,0.27934,-0.81709
12.54571,13.67964,-0.61487,1.41865,0.75805,0.08587,0.92960,-0.06505,0.09178
12.91367,13.84096,-2.98206,1.31407,0.29389,0.24548,1.11327,0.43389,-0.44694
13.12776,14.13670,-0.16347,1.39041,1.32872,0.04102,0.72514,0.16421,-0.95304
13.24178,13.78746,-0.17277,1.17104,1.23405,0.43082,0.89506,-0.06938,-0.20153
12.49763,13.39214,-2.08055,0.88760,0.14455,0.31187,1.01135,-0.07906,-0.39285
12.90128,13.77424,-2.38379,1.48273,0.53040,0.41681,1.28387,-0.22710,0.05179
12.55513,13.28219,-1.71871,1.45990,1.18721,0.41648,1.05129,-0.48034,0.94143
12.61016,13.95980,-2.09833,0.92458,0.90810,0.04249,1.21103,0.15724,0.55627
12.44076,13.97195,-0.14720,0.86457,0.34553,0.22926,0.91587,-0.42966,-0.11750
12.62938,14.14152,-0.29654,1.19941,0.68007,0.33588,1.10810,0.11304,-0.22566
12.90808,14.31219,-1.54274,1.24199,1.08588,0.24021,0.99424,-0.05622,-0.44821
