# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.46489,14.07309,-0.17531,1.39515,1.02621,0.43888,0.92802,0.07701,-0.92104
13.03164,13.36056,-1.17427,1.31520,0.85150,0.13436,0.92485,-0.26760,-0.34222
13.06806,14.14947,-2.66922,1.03995,1.01986,0.11034,0.76529,0.12564,0.25735
13.15174,14.10015,-1.14468,0.90682,1.06221,0.05188,0.79539,0.18835,-0.40155
12.61744,14.24864,-2.77694,1.40546,1.24763,0.43694,0.98941,0.06102,0.31308
12.75330,13.21183,-1.49649,1.06727,0.81638,0.07044,1.18529,0.29847,-0.77591
12.69377,13.85333,-1.94930,1.37709,0.06320,0.07215,1.23182,0.45713,-0.76503
12.50688,14.20608,-2.46994,1.42361,1.26315,0.25703,1.10162,0.17272,0.69991
12.70243,13.86875,-2.72207,1.29524,1.18026,0.26057,0.80666,-0.32245,-0.59287
12.81288,13.83963,-1.72217,0.94942,1.20633,0.22029,1.21373,-0.12176,0.24098
13.16464,14.09163,-2.40082,1.02754,0.72020,0.07859,1.15844,0.40799,-0.71559
12.81280,13.95753,-0.94876,0.96405,0.24382,0.00399,0.86555,0.25436,-0.15679
12.61416,13.69267,-1.48160,0.99755,0.85421,0.10572,1.04275,-0.37718,0.48696
13.19347,13.80344,-0.14639,1.26091,1.37244,0.12970,0.89897,-0.41935,-0.71594
12.62931,13.38756,-1.09631,1.47738,0.57280,0.10274,0.77833,0.49588,-0.85983
13.25320,13.75153,-1.91601,1.49709,1.03522,0.49024,1.06638,-0.23606,-0.63506
13.19336,13.93544,-1.94675,0.81865,1.04688,0.24752,1.01621,-0.07213,-0.89911
13.28293,13.34450,-0.27174,0.99333,0.45440,0.49654,1.10289,-0.24380,0.84043
12.55084,13.49645,-0.71419,1.11676,1.32466,0.16046,1.10893,0.01980,-0.35891
12.50176,13.23178,-0.79044,0.81724,0.92141,0.20376,1.27987,-0.20912,0.47097
13.01064,14.22282,-2.57606,0.77516,1.22346,0.32841,0.96877,-0.38967,-0.49811
13.29716,14.29848,-2.74398,1.27983,1.31659,0.40425,0.94863,-0.22938,0.41767
12.63450,13.50865,-2.84477,0.75415,1.05677,0.32992,0.80599,0.16980,-0.95228
13.20747,13.57376,-0.98418,1.42935,0.04075,0.15153,1.24874,-0.44281,0.98546
