# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
13.17727,14.10638,-1.51095,0.75782,1.17112,0.29560,0.87348,0.47729,0.34744
12.85129,13.32453,-2.86591,1.19254,1.34903,0.31092,1.07802,0.03734,-0.74801
13.20048,14.37208,-2.93952,1.34370,1.43745,0.35194,0.83468,-0.35029,-0.30084
12.40212,14.24659,-2.29518,1.35873,0.15769,0.27374,1.13454,-0.41966,-0.13083
13.16612,13.81955,-1.41165,0.78585,0.92004,0.45331,1.23891,0.23671,-0.54614
12.98942,13.48105,-0.62808,0.80458,1.08574,0.31646,1.02085,0.38413,0.59105
13.26629,13.94127,-1.04876,0.71730,1.46786,0.43139,1.17564,0.09281,-0.93840
13.20743,13.84589,-2.30425,0.82749,0.68954,0.03681,0.71053,0.31106,0.61287
13.20985,13.58293,-2.51258,1.38048,0.47060,0.18007,0.94696,0.16830,0.77713
12.67796,14.19982,-0.09189,1.07927,0.84020,0.27042,1.02366,-0.03022,0.65351
12.58781,13.20914,-0.41964,1.14603,0.98006,0.33429,0.84033,0.23192,0.51031
12.64000,13.47829,-1.96289,1.12843,0.30667,0.02699,0.75704,0.17767,-0.62842
12.87893,13.52613,-1.95310,1.41328,1.48985,0.04900,1.14318,-0.27350,0.74992
12.80994,13.39796,-0.74450,1.08571,1.13009,0.49204,1.03488,-0.34838,0.76473
12.79095,14.35799,-1.38802,0.99706,0.98834,0.27397,0.76604,-0.47587,0.13161
13.18958,13.43337,-0.43986,1.16269,1.22246,0.42343,0.76565,-0.02799,0.94838
12.90618,14.17571,-0.46459,1.49207,0.01189,0.02761,0.89361,0.47483,-0.34441
13.10232,13.94158,-1.40815,1.28581,0.01669,0.07546,0.88581,-0.30440,0.00814
12.55754,13.85694,-0.53399,1.46462,1.37794,0.05831,1.19331,-0.33393,0.18787
12.66935,13.48135,-2.91324,1.05309,1.05843,0.06443,1.08354,-0.23302,0.27497
13.09605,14.02424,-2.05369,1.40786,0.07612,0.08523,1.09835,-0.01515,-0.17327
13.12786,13.60943,-0.13728,0.84717,0.42519,0.42027,0.94095,-0.18172,-0.01716
13.06383,14.17572,-2.18500,1.15247,1.35561,0.21808,0.88970,-0.26448,0.75852
12.81514,14.03901,-0.32965,1.47737,0.08051,0.15222,1.14476,0.38244,0.58668
13.13024,13.29372,-1.48443,0.96061,0.90939,0.46723,1.29413,-0.12875,0.26114
13.09649,13.55325,-2.40127,0.87311,1.41961,0.45400,0.89738,0.18515,-0.11442
12.89549,14.36414,-2.85138,0.75809,0.86843,0.33033,0.87384,0.06943,0.01864
12.50102,13.69879,-2.89318,0.90388,0.63100,0.04954,0.96993,-0.16123,0.04835
12.75545,13.66697,-1.03091,1.26991,1.22887,0.48964,0.73293,0.35787,-0.98506
13.06961,13.98069,-2.38265,1.14256,0.04372,0.22908,1.21442,0.19356,-0.60649
12.66722,13.71692,-1.51743,1.28146,1.17367,0.38185,0.83316,0.09249,-0.75608
12.58439,14.33993,-1.28586,1.00276,0.94519,0.19652,0.70759,-0.17286,0.70773
12.60790,13.90041,-2.81957,1.09796,0.13107,0.14055,1.19452,0.08809,0.25348
13.15897,13.59545,-1.35580,0.84011,1.11674,0.02686,1.08652,-0.04324,0.62956
13.27581,13.32056,-0.64311,0.83064,0.42832,0.35451,1.18272,0.25783,0.33708
12.48538,13.82497,-1.59455,0.85271,0.36529,0.41558,1.25775,-0.23203,-0.77718
12.55438,13.74076,-0.46519,0.90374,0.55681,0.16674,0.90738,-0.44154,0.30339
12.95508,13.58894,-0.45810,1.15550,0.67724,0.10743,0.77339,-0.32842,0.00081
12.75544,13.43679,-0.81373,0.88246,0.74926,0.31528,1.19305,-0.32469,0.71003
12.75292,13.71276,-1.43494,0.85193,0.57669,0.05860,0.80057,0.42544,-0.40348
12.72276,13.79665,-0.48346,1.33242,0.57853,0.28447,1.12899,-0.06724,-0.49263
12.90377,14.35582,-2.33440,1.27709,0.75466,0.10225,1.12545,-0.47415,-0.29207
12.83221,14.37056,-0.04565,1.38725,0.57664,0.16457,1.18533,-0.33826,0.92813
12.94126,13.52813,-2.61731,1.09992,0.32823,0.47419,1.14482,0.16903,-0.72289
12.74929,13.23314,-1.86423,0.91009,0.56316,0.38129,1.16417,0.23311,-0.64236
12.68239,13.87134,-1.44463,1.09327,0.88162,0.16512,0.84263,0.05299,-0.49245
13.24041,14.02254,-0.07593,1.37633,0.42975,0.09574,0.78033,0.49096,0.21112
12.82848,13.23765,-1.13795,1.33345,0.37950,0.12792,1.28001,0.32360,0.42398
13.03196,13.60763,-1.69855,1.36322,1.40683,0.20919,0.81288,0.14036,0.96919
12.40697,13.50877,-0.44652,1.15252,0.26361,0.32559,0.92152,-0.40016,0.98611
12.42663,13.21054,-2.75703,1.25781,0.13156,0.47836,1.19660,-0.34870,-0.52622
12.88643,13.68965,-1.94877,0.84248,1.32173,0.14527,1.17340,-0.17562,0.78625
13.17740,13.22217,-0.31370,1.12271,0.28461,0.19835,0.99428,0.03497,0.06102
12.60946,13.53264,-2.83995,1.49874,0.10508,0.40822,1.07506,-0.19509,-0.75750
12.62324,14.38546,-0.82399,1.37576,0.01492,0.24844,1.27859,-0.12625,0.84661
12.66592,14.24487,-1.50363,1.34341,0.50493,0.42860,0.71535,0.38887,0.52731
12.83134,13.23015,-1.47617,0.89993,1.38998,0.41377,1.01606,0.09530,0.38802
13.23286,14.16111,-0.49048,0.81040,1.45907,0.02997,1.28123,0.15833,-0.56208
13.21866,14.12434,-1.12337,0.86654,0.40852,0.22429,0.83144,-0.32040,0.58804
12.54050,14.24883,-2.05209,1.04732,1.49672,0.21783,0.98583,-0.10874,0.74737
12.82319,14.27652,-1.29135,1.21494,0.81943,0.19161,1.05642,-0.03754,0.92417
12.61730,14.08538,-2.50454,0.98951,1.47294,0.49589,1.11004,0.01844,-0.22135
13.25298,13.46829,-1.92036,1.24295,0.01795,0.28388,1.08282,-0.09997,-0.75974
12.69762,13.41365,-1.09141,1.08410,0.71032,0.28249,1.10765,0.09606,0.06949
12.57666,13.68863,-1.35135,0.75382,0.12709,0.16693,0.96825,-0.00166,0.06425
12.70327,14.01726,-0.89683,1.31307,0.83220,0.38816,1.23736,-0.32103,-0.14353
12.90124,13.79993,-1.41262,1.17896,0.87419,0.39965,0.71119,0.37656,0.15897
12.82948,13.35102,-1.64998,0.90107,0.29184,0.03992,1.03298,0.02099,0.19460
13.27908,13.94943,-0.06056,1.18763,1.29829,0.20904,0.98459,-0.19247,-0.93454
13.00817,14.10356,-2.97243,0.90483,0.90445,0.19874,1.23682,-0.10579,-0.96829
13.21356,13.37488,-1.95022,0.88489,0.84574,0.29694,0.93216,0.15119,0.87510
12.78511,13.57268,-1.26167,1.28487,0.77389,0.25458,1.19623,0.37796,-0.09655
12.54886,13.94853,-2.77069,1.09980,0.74517,0.34076,1.02489,-0.48464,-0.60209
12.50773,13.43050,-1.30293,0.76055,1.44915,0.28440,0.76988,-0.30254,-0.41317
12.77234,13.30598,-0.78199,1.48058,1.41328,0.20887,1.05416,-0.07197,-0.68165
12.63774,13.83996,-2.64221,1.02898,1.19058,0.00229,0.78173,-0.36092,-0.79419
13.29437,13.50412,-2.87471,0.90270,0.69966,0.16480,1.20390,0.19532,-0.57120
12.61736,13.27482,-1.30638,1.03811,0.94622,0.03466,0.89465,0.14146,0.07423
12.99171,13.67512,-2.48476,0.93691,1.31769,0.30145,0.92606,-0.37211,-0.48262
13.11603,14.16611,-0.73430,1.28453,0.77348,0.02231,1.20509,-0.14911,-0.71459
12.62677,13.95352,-0.23406,0.76361,0.73165,0.43317,1.09953,-0.14910,0.50646
12.74675,14.25869,-1.13204,0.84984,1.44085,0.41461,0.76023,-0.28854,-0.68889
12.57289,14.01936,-0.98487,1.43627,1.31012,0.15504,1.04403,0.32310,0.36516
12.78176,13.48980,-1.29971,1.04140,0.70799,0.06764,1.11549,0.34855,0.57335
13.05624,13.85488,-1.93786,1.36460,0.66864,0.21687,1.10367,-0.36527,0.19299
12.89137,13.87574,-1.68353,1.28306,1.41558,0.35438,0.79556,0.02299,0.47521
13.07926,13.72509,-1.61806,0.70144,1.20103,0.45216,0.96210,-0.35821,0.44988
13.11774,13.52343,-2.62297,1.09008,1.32758,0.32404,1.02143,0.10792,0.18883
12.72684,13.56848,-1.40838,0.91232,0.21536,0.46331,1.11738,-0.32841,-0.01290
12.54320,13.68543,-0.15343,1.43486,0.53292,0.02312,1.07089,-0.38690,0.93381
12.47297,13.53589,-2.40358,0.99770,0.54164,0.10689,0.84657,0.47970,-0.41068
12.45160,13.55231,-2.27296,0.98845,1.15293,0.40196,0.86369,0.02898,-0.94568
