# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
13.18144,13.22321,-2.85449,1.48404,1.07652,0.45806,1.27469,-0.08027,-0.41836
13.28793,13.42851,-2.34706,1.35287,0.20332,0.43286,1.29464,0.20277,-0.26926
12.90779,13.54618,-2.18574,0.89754,0.59109,0.31160,0.99287,0.23481,-0.85775
12.93371,13.54623,-1.69384,1.32611,0.33121,0.20009,0.85701,-0.45334,-0.78745
13.23591,13.55266,-0.10776,0.84992,0.64932,0.48865,0.98170,-0.01775,-0.26574
12.40399,14.32319,-0.61513,0.83513,0.78219,0.02547,1.17177,-0.02390,-0.95713
12.89753,14.29365,-1.50709,1.12355,0.39944,0.30926,0.88191,0.07453,-0.39690
12.44947,13.66066,-2.67304,0.93697,0.55434,0.02211,1.09046,0.31636,-0.99325
12.72095,14.29312,-1.87846,0.97174,1.45669,0.06823,1.10745,-0.23312,0.06110
12.42566,13.60985,-1.46220,1.04305,0.48435,0.08347,1.03937,0.06298,0.79658
12.42726,13.61162,-1.56277,0.90436,0.90044,0.38652,0.77189,0.23072,0.78616
12.90481,13.45735,-1.62257,1.14343,1.05888,0.29576,1.23225,-0.31362,-0.50656
13.16826,13.81653,-0.13972,1.16900,0.34564,0.36076,0.79987,-0.06695,0.09455
12.98686,14.08143,-0.03979,1.39605,0.38663,0.20303,1.18766,-0.34572,0.70647
12.75803,14.27764,-1.99534,1.21791,1.10551,0.41354,0.87474,0.30378,-0.23596
12.78884,13.30479,-0.92796,0.98917,0.09265,0.03925,1.25280,-0.24284,-0.58109
12.72300,13.67439,-1.96759,1.11030,0.20052,0.41523,0.90310,-0.15633,-0.11108
12.40026,14.13538,-0.50029,1.30555,1.11925,0.45351,1.13439,-0.01680,-0.22507
12.40716,13.92242,-0.01435,0.89333,0.38213,0.01291,1.05348,-0.46179,-0.61171
13.04672,14.27864,-1.06072,0.75240,0.88638,0.32840,0.95520,0.20989,-0.41349
12.66939,13.26211,-1.20082,0.74410,0.37341,0.48176,1.25649,-0.19204,0.22792
13.06608,13.69807,-2.77109,1.01657,0.71894,0.02739,1.05852,-0.06888,0.74887
13.04514,13.47127,-2.23150,1.06928,1.19754,0.45683,1.03305,0.01687,0.73062
12.54188,13.73458,-1.29580,0.98879,1.03577,0.08146,0.72073,0.07407,-0.84557
12.59922,13.89444,-0.94270,0.99350,1.43565,0.43907,0.78267,-0.46402,-0.09595
13.08696,13.23966,-1.14382,1.17384,1.24900,0.08310,0.77200,-0.22158,0.78852
13.25827,13.85372,-1.62580,0.79601,1.00238,0.42218,1.22182,-0.00457,-0.51217
12.79734,13.46434,-0.96047,0.96017,1.05278,0.45755,1.13212,0.17567,0.32874
12.55621,13.36562,-1.57643,1.00527,1.13581,0.48316,0.94367,0.29389,0.08231
12.76472,14.29821,-2.91763,1.35705,0.27012,0.09820,0.84286,-0.25862,-0.53533
13.24399,14.16688,-1.17597,0.70846,0.15895,0.46528,0.78398,0.39948,0.59541
12.59527,13.74677,-0.85260,1.43072,1.00993,0.34794,0.78623,-0.40186,-0.46755
12.40304,13.70376,-0.16326,1.04578,1.16650,0.35018,0.78099,0.02872,-0.23850
12.94488,13.68571,-2.63685,1.20607,0.82064,0.27803,0.95272,-0.06080,-0.83257
12.82177,13.84129,-1.61441,0.85422,0.25982,0.16909,0.75257,0.46830,-0.66620
12.93835,13.33855,-2.17796,1.17439,0.91953,0.44450,0.86544,-0.23135,-0.99345
12.72572,14.39702,-1.33178,0.90541,1.02862,0.48987,1.19734,0.03462,0.00720
12.77899,13.54013,-0.50877,1.33786,1.25583,0.48405,0.74512,-0.11670,0.68111
12.99935,14.08552,-2.20595,1.28073,0.21347,0.01521,1.15325,0.22107,0.34444
13.07327,14.39538,-2.18698,1.03657,0.87468,0.04683,0.79261,-0.06001,0.77677
12.57143,14.17049,-1.48844,1.35109,0.52871,0.27305,1.29596,-0.07643,0.25656
12.82736,13.45158,-0.80699,1.41919,0.27435,0.25954,0.71227,-0.48002,-0.88723
12.93424,13.32000,-2.24656,1.26581,0.33858,0.23895,0.97543,0.13681,0.28923
12.98202,14.33919,-1.64862,1.42053,0.61105,0.30504,0.98878,0.29697,0.99295
12.55396,14.02933,-2.98169,1.00602,0.22384,0.38751,0.72323,0.37811,0.44235
12.86567,13.72566,-0.58625,1.13504,0.68946,0.49040,0.98556,0.08839,-0.74470
12.50956,14.31166,-0.54268,1.18376,0.17642,0.32075,0.98506,0.32334,0.66508
12.91605,13.92700,-0.33997,0.93582,1.42057,0.32000,0.94118,0.22697,-0.29465
12.85349,13.34311,-1.39352,0.77637,0.43410,0.46801,1.05060,-0.10377,0.06816
12.92404,13.66259,-2.81674,1.16198,0.58255,0.10247,1.13530,0.05737,0.82303
13.14733,14.01647,-2.76753,0.86707,1.09848,0.14410,0.73090,-0.20762,-0.15313
12.92186,13.20533,-2.43383,1.00179,1.39862,0.13504,1.01244,0.11683,-0.40414
12.83357,13.33465,-2.77327,1.25918,0.70954,0.27103,0.73368,-0.20698,-0.10390
12.54078,14.39641,-2.54745,0.92910,0.25419,0.33799,1.26945,0.41201,-0.30214
12.73086,14.18666,-0.56844,1.34697,1.16223,0.18174,1.23956,0.35862,-0.92852
12.60483,13.52394,-0.58205,0.94562,0.22286,0.25862,1.07582,-0.27371,0.12018
