# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.63169,13.91226,-1.85700,0.76427,0.10212,0.32635,1.01487,0.37157,-0.38280
12.70728,13.66701,-2.78015,1.30770,1.02496,0.26684,0.94221,0.18593,0.91266
12.66721,13.45621,-1.38758,1.00419,1.31783,0.24849,0.80709,0.39179,-0.17406
12.72469,13.46124,-2.30145,1.26470,0.81780,0.37837,1.09660,0.01138,-0.39680
12.67548,14.02023,-1.33462,1.41245,0.50789,0.23489,0.82945,0.25721,-0.10289
12.59564,13.24736,-1.38065,1.29253,0.66610,0.48609,0.88620,0.13866,0.90918
12.90202,14.01216,-2.51776,1.34775,1.05263,0.36408,1.00791,-0.26966,0.65088
12.54915,14.30729,-1.73677,1.00559,1.29160,0.07631,0.91008,-0.27937,0.81404
13.15911,13.37445,-2.86652,1.09935,0.50447,0.19635,0.82326,0.16334,-0.43809
12.83409,13.40467,-0.76709,1.44328,1.42247,0.39935,0.91137,0.10648,0.33676
12.44147,14.17303,-0.82957,1.11490,0.16184,0.09844,0.78591,-0.22777,0.87329
12.82833,13.25335,-1.46879,1.22271,0.08735,0.25309,1.19420,-0.07133,0.91832
12.40342,13.28780,-2.17692,0.99057,0.29977,0.09013,1.13590,-0.25599,-0.72621
12.46332,13.93283,-2.24092,1.41265,0.24602,0.32258,1.22581,0.00780,-0.76131
13.02285,14.38907,-0.61903,0.81723,0.10830,0.24405,0.81301,-0.47922,0.64961
12.49527,13.70078,-2.66681,1.47416,0.55632,0.40216,1.21094,0.02512,-0.29660
12.67337,13.33596,-1.47746,1.31585,1.20800,0.25494,0.78411,0.42199,-0.19911
13.29611,14.21897,-0.28788,1.07400,1.01665,0.34897,0.85072,0.28708,0.73817
12.52156,13.89063,-0.60390,1.13905,0.31292,0.32683,0.79889,0.29853,-0.28895
12.61001,14.24291,-0.06247,0.74326,0.63333,0.20396,1.12169,-0.05672,0.58808
13.22197,13.85475,-0.59631,1.29857,0.96270,0.45238,0.81072,-0.18044,-0.69738
12.85802,13.30718,-1.44308,1.12679,0.30890,0.07769,0.99526,-0.02576,-0.15317
12.42282,13.80992,-0.85669,1.43601,0.68720,0.41692,1.00107,0.26687,0.39094
12.72579,14.10790,-2.04235,1.17455,0.95055,0.36743,1.23672,-0.00301,-0.10682
13.00980,13.56045,-1.38540,1.03253,1.12902,0.38800,1.23991,-0.11719,-0.92107
12.56170,13.34990,-0.02822,1.12997,0.45600,0.19046,0.96278,-0.38342,0.67580
12.52735,13.96919,-1.04476,1.22785,0.71933,0.39446,1.10132,-0.46403,-0.46099
12.63648,13.56430,-1.64735,1.45123,0.91233,0.46212,0.89564,-0.26090,-0.42014
12.83126,13.84304,-2.95162,0.88743,1.20002,0.29723,1.29551,-0.42625,0.16131
13.15888,13.85761,-0.68005,1.21724,0.29169,0.44732,1.11292,0.21443,0.86485
12.53549,13.45770,-0.91910,1.39376,1.40222,0.37113,1.18435,-0.37152,0.05904
13.00135,14.06421,-2.04121,1.10124,0.44108,0.38840,0.70310,0.34198,-0.96763
12.99363,13.39194,-0.66532,1.40412,0.65919,0.02683,0.81434,0.47844,0.43049
12.80886,13.54111,-1.42301,0.74800,0.49607,0.12283,0.96202,0.00473,-0.91582
12.46903,13.89409,-0.01201,1.30419,0.27626,0.38299,0.70334,0.03425,0.01241
12.87819,13.28378,-0.40792,0.84239,0.14155,0.34768,1.03952,0.23520,-0.23782
12.93117,13.28409,-0.37757,1.37679,1.10007,0.34377,1.14071,0.24657,-0.24357
13.00453,14.35567,-2.02675,0.75072,0.92812,0.18304,0.79621,0.21966,0.55033
12.68415,13.43497,-1.58696,1.14667,0.06362,0.02654,0.88656,0.16270,0.38359
13.22963,13.69695,-0.83081,1.22972,0.73970,0.02254,1.00942,0.32718,0.18220
12.97321,13.31177,-1.20636,1.05801,0.76603,0.00713,0.74379,0.26144,0.26053
13.29247,14.36508,-0.89750,1.38816,0.33942,0.13646,1.03796,0.32692,0.87422
12.67331,13.95293,-0.51415,1.37241,0.92053,0.42831,1.13392,0.44167,0.28890
12.83695,14.18770,-2.58472,1.40125,1.16800,0.39004,0.90593,0.30995,-0.19222
13.14613,14.25008,-2.02032,0.75142,1.47125,0.22362,0.80034,0.36379,0.84736
12.91051,13.40025,-1.53109,1.21894,1.03350,0.27822,1.00127,-0.03621,-0.36012
13.04156,14.28403,-0.64832,1.37980,0.81201,0.43822,1.04997,0.41883,-0.57732
12.96179,13.25811,-0.51991,1.24017,1.18449,0.44913,1.19185,0.30254,0.02222
13.23353,14.13558,-1.51267,1.36557,0.95702,0.08708,1.09948,-0.10314,0.88840
12.94886,14.35244,-2.09358,1.05758,1.17751,0.18051,0.98651,-0.45115,0.80490
12.72431,13.62074,-1.42383,0.94188,1.15491,0.36940,0.84741,-0.35565,-0.01418
12.87438,13.42984,-1.76139,1.05622,0.12635,0.05428,1.04136,-0.38136,-0.98153
13.00013,13.86420,-0.20454,1.22763,0.90575,0.17483,1.24869,0.05367,-0.92996
12.95029,13.74363,-2.44516,0.89502,0.96227,0.23821,0.90115,0.16082,-0.18761
13.08195,13.83814,-0.55830,0.80098,0.20314,0.18916,0.96750,-0.41376,-0.24675
12.71664,13.38110,-2.11778,1.23543,1.03596,0.36630,0.87124,0.16190,-0.31025
12.58947,14.19156,-1.20509,1.17359,1.30298,0.03912,1.13497,-0.11374,0.73548
13.18004,14.02845,-2.44571,1.49264,1.18470,0.06083,0.71312,0.36394,0.90686
13.26489,14.13253,-2.25996,0.96578,0.98132,0.04823,1.04450,-0.24414,-0.30157
12.81060,13.83261,-0.36006,1.01775,0.08984,0.15364,1.02419,0.13523,-0.50920
12.45693,13.78946,-2.74838,0.72053,1.24576,0.37330,0.81833,0.24590,-0.35550
13.27719,13.81485,-2.96581,1.04018,0.62499,0.31958,0.89514,-0.13273,-0.05794
12.78892,14.05876,-2.53507,0.86293,1.45770,0.25142,0.89519,-0.17880,0.54779
12.72912,14.39529,-0.37632,1.20997,0.06171,0.36975,1.20333,0.18894,0.84561
12.80676,14.13781,-0.58634,0.75287,0.45966,0.06143,0.97277,0.20589,0.64351
13.15549,14.10082,-1.03244,0.91331,1.17028,0.28927,0.85059,0.08808,-0.11641
13.04848,14.37265,-1.69358,1.02690,0.04791,0.34279,0.90484,-0.39026,0.27527
13.26175,13.83106,-2.86580,1.29274,1.21929,0.00180,0.75815,-0.21270,-0.92985
12.89485,14.04496,-1.51550,1.00113,0.56619,0.46930,1.26257,0.13181,0.97175
12.67027,13.85828,-2.87793,0.83416,1.23696,0.32522,1.14567,0.19204,-0.99936
12.65984,13.55828,-0.35690,1.12291,0.99678,0.42703,1.19230,0.13150,0.11857
12.52923,14.03979,-2.21382,1.28925,0.10958,0.12951,0.97773,-0.42722,0.38695
12.68427,13.34249,-2.79707,1.39053,0.02270,0.43688,1.03121,-0.21304,-0.34978
12.50284,13.86345,-2.04174,0.94622,0.66971,0.46162,1.13327,0.26469,-0.55581
12.60818,14.10274,-2.68406,1.24641,0.34399,0.02977,0.74397,0.05832,-0.31366
13.07488,13.46685,-0.11568,0.91276,1.41896,0.36167,1.05121,0.05105,0.02752
13.05074,14.25391,-1.74058,1.43139,0.70112,0.37170,0.91418,-0.37407,-0.34829
12.47708,13.93516,-2.23463,1.32800,0.53597,0.26571,0.82103,-0.10371,-0.23448
12.51016,13.21543,-1.16299,1.17961,1.11073,0.05833,1.21057,-0.10462,-0.98882
12.84970,14.30913,-0.68449,0.71963,0.18903,0.20065,1.29959,-0.28696,0.76318
12.75058,14.04090,-2.99495,1.46826,0.45219,0.01752,1.18893,-0.12400,0.64580
13.12929,14.08044,-1.35953,1.35855,0.08600,0.37052,1.04435,0.04623,-0.72855
