# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.87953,13.58342,-1.63683,1.25247,1.00485,0.31523,1.04703,0.04332,-0.91305
13.15219,13.82260,-1.69685,1.09654,0.38115,0.48942,0.89002,-0.21613,-0.96839
12.63286,13.65153,-0.35573,1.39044,0.79206,0.19835,1.06319,0.26696,-0.48008
12.59109,13.65795,-2.02279,0.82461,0.34434,0.21483,0.82589,-0.08374,0.97351
12.78981,13.39903,-0.80176,1.05667,0.69771,0.22783,0.77513,-0.26528,-0.75473
12.40246,13.80741,-2.98473,1.07019,1.46078,0.19481,0.80915,0.15396,0.37909
12.75077,13.84493,-1.89393,1.10475,1.35092,0.45371,1.26531,-0.06994,-0.34018
12.77412,13.26102,-0.84377,1.34227,0.36626,0.01634,0.98311,0.31409,-0.95092
12.54546,14.26734,-2.77201,1.43106,1.42043,0.02210,1.14909,-0.16164,-0.87907
12.57372,14.07554,-1.83379,0.88031,1.39501,0.38618,0.99972,0.32646,-0.44800
12.51116,14.04545,-1.41218,1.40701,1.44080,0.03332,1.09538,0.38650,0.86235
12.60069,13.92620,-0.63316,0.70483,0.53228,0.04973,1.22026,-0.37064,0.76975
12.48972,14.33412,-1.78792,0.83831,0.63739,0.01909,0.86189,-0.10436,0.60271
13.25032,14.30335,-0.87484,1.09118,0.13309,0.01785,1.23940,-0.16016,-0.03796
12.82347,14.36876,-1.47184,1.17135,0.73900,0.19704,0.96183,0.33958,0.40995
13.24327,13.29249,-1.71056,1.48264,0.38912,0.04291,0.85744,-0.31271,0.15466
12.70860,13.54735,-0.55510,0.93980,1.16269,0.01112,0.95370,-0.10929,0.67599
12.98926,13.87977,-0.80568,1.23872,0.81703,0.28439,1.13204,-0.14030,-0.71188
12.98950,13.35429,-0.67543,1.08073,1.29607,0.41691,0.70271,0.17541,0.59067
12.40997,13.91486,-1.94391,1.19741,0.83137,0.08242,1.20985,-0.36509,-0.02354
12.60981,14.09827,-1.46905,1.03492,0.66190,0.04936,1.01240,-0.21964,0.17738
12.68982,14.21399,-0.53231,1.24167,0.29466,0.45338,1.29241,0.24509,-0.49664
13.17262,14.05989,-1.51963,1.26499,0.34113,0.14365,0.92158,-0.46955,-0.20851
12.40764,14.17407,-1.41138,0.90191,1.35764,0.27164,0.99324,0.07884,-0.56144
