# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
13.04513,13.35648,-0.07067,0.81853,1.33891,0.34626,0.87521,0.44178,-0.99703
13.01363,13.39056,-1.26264,1.44919,0.15369,0.32068,0.74778,-0.31837,0.61671
13.14338,13.38238,-1.46826,1.16195,1.49385,0.10053,0.98427,0.20917,-0.99710
12.61029,13.40520,-1.68645,1.39718,1.39559,0.06215,0.92860,0.01015,-0.30480
13.27475,13.54831,-0.63676,0.90543,0.63221,0.16683,0.94228,-0.30210,-0.46701
13.05450,13.91516,-2.51074,0.71471,0.50884,0.02609,0.93490,0.39217,0.64637
12.50934,13.96330,-1.24547,1.31041,1.42564,0.04166,1.04458,-0.11915,0.42170
13.27629,14.14774,-2.48786,0.87856,1.39927,0.06297,0.87326,-0.00216,0.81373
13.19034,13.51648,-0.87761,1.30679,1.01335,0.13419,0.88627,-0.13127,0.80820
12.40590,13.66345,-0.04254,1.34023,0.76999,0.37541,0.73522,0.04723,0.65670
12.77447,13.55040,-0.65950,1.18360,0.51354,0.23195,1.13817,0.28035,0.03604
12.72113,13.90132,-2.45229,1.14350,0.08232,0.04703,1.22522,-0.05431,0.54172
12.72641,13.74816,-2.21556,1.25132,0.94507,0.28124,0.88520,-0.06928,0.49574
13.13360,13.26012,-2.33065,1.26244,0.44941,0.45338,1.07050,0.44061,0.60811
13.03429,13.62148,-1.81578,1.36407,0.53468,0.29222,1.12731,0.28465,-0.70849
12.67488,13.92115,-0.56009,0.96986,0.04306,0.39852,1.18934,0.44562,0.76911
13.04421,13.95701,-2.02224,1.17208,0.82936,0.00295,0.82858,0.43539,0.31630
12.45507,13.49267,-2.01026,1.12131,1.19169,0.10367,0.73726,-0.02816,-0.26192
12.81342,14.30853,-2.89063,1.16595,1.14357,0.29250,1.26603,-0.36732,-0.71926
12.48579,13.22879,-2.40362,0.71830,0.32078,0.38670,1.00036,0.37897,0.79885
13.12869,13.81590,-1.84207,1.07017,1.17775,0.31941,1.26906,-0.47965,0.52986
12.89707,13.74208,-0.47107,1.18241,0.45314,0.40344,1.26153,0.25782,-0.02560
12.50958,13.24214,-0.06879,1.21136,0.35285,0.20621,0.95340,-0.45763,0.98895
12.98872,14.23046,-2.94665,0.70499,0.96824,0.42416,0.92743,0.00066,-0.26172
13.02964,13.50216,-1.79153,1.23600,1.34013,0.05454,0.80940,0.43381,0.29494
13.20860,13.48837,-2.47570,1.41603,0.95382,0.38379,1.28435,0.19168,0.65003
12.65134,13.39655,-1.90562,1.31398,1.36898,0.06491,1.01665,0.00139,-0.65724
13.27060,13.56287,-1.55737,0.76731,1.42112,0.22156,0.86888,0.11678,-0.87439
12.88418,13.78699,-1.69078,1.17496,1.40255,0.33484,0.76090,0.49699,0.39369
12.99955,13.66854,-0.63163,1.39728,0.24406,0.45084,1.22852,-0.40110,0.78382
12.94508,13.60062,-0.31950,0.71742,0.06780,0.23143,0.99158,-0.39639,-0.71294
